date,cases
2020-03-20,1
2020-03-26,1
2020-03-27,1
2020-04-01,1
2020-04-02,3
2020-04-04,1
2020-04-09,2
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-19,1
2020-04-23,1
2020-04-28,3
2020-05-02,1
2020-05-07,1
2020-05-08,2
2020-05-14,1
2020-05-18,1
2020-05-20,1
2020-05-26,1
2020-05-28,1
2020-06-01,1
2020-06-06,1
2020-06-08,1
2020-06-09,2
2020-06-10,1
2020-06-11,2
2020-06-12,1
2020-06-16,2
2020-06-17,4
2020-06-18,1
2020-06-19,1
2020-06-22,1
2020-06-23,2
2020-06-25,1
2020-06-26,2
2020-06-29,1
2020-06-30,2
2020-07-01,1
2020-07-03,4
2020-07-04,6
2020-07-06,7
2020-07-07,3
2020-07-08,6
2020-07-09,6
2020-07-10,1
2020-07-11,4
2020-07-12,1
2020-07-14,3
2020-07-15,5
2020-07-16,8
2020-07-17,14
2020-07-18,9
2020-07-19,7
2020-07-20,7
2020-07-21,12
2020-07-22,10
2020-07-23,8
2020-07-24,12
2020-07-25,8
2020-07-26,10
2020-07-27,19
2020-07-28,7
2020-07-29,21
2020-07-30,7
2020-07-31,4
2020-08-01,15
2020-08-02,10
2020-08-03,16
2020-08-04,8
2020-08-05,15
2020-08-06,13
2020-08-07,22
2020-08-08,8
2020-08-09,6
2020-08-10,16
2020-08-11,23
2020-08-12,12
2020-08-13,15
2020-08-14,6
2020-08-15,14
2020-08-16,9
2020-08-17,7
2020-08-18,12
2020-08-19,8
2020-08-20,27
2020-08-21,24
2020-08-22,17
2020-08-23,12
2020-08-24,49
2020-08-25,9
2020-08-26,18
2020-08-27,30
2020-08-28,17
2020-08-29,19
2020-08-30,11
2020-08-31,16
2020-09-01,20
2020-09-02,38
2020-09-03,22
2020-09-04,40
2020-09-05,34
2020-09-06,10
2020-09-07,45
2020-09-08,20
2020-09-09,30
2020-09-10,17
2020-09-11,29
2020-09-12,38
2020-09-13,42
2020-09-14,41
2020-09-15,26
2020-09-16,28
2020-09-17,17
2020-09-18,22
2020-09-19,23
2020-09-20,16
2020-09-21,37
2020-09-22,45
2020-09-23,27
2020-09-24,33
2020-09-25,25
2020-09-26,38
2020-09-27,20
2020-09-28,65
2020-09-29,62
2020-09-30,53
2020-10-01,64
2020-10-02,63
2020-10-03,36
2020-10-04,36
2020-10-05,103
2020-10-06,74
2020-10-07,72
2020-10-08,75
2020-10-09,54
2020-10-10,72
2020-10-11,23
2020-10-12,26
2020-10-13,81
2020-10-14,64
2020-10-15,95
2020-10-16,41
2020-10-17,35
2020-10-18,37
2020-10-19,94
2020-10-20,86
2020-10-21,61
2020-10-22,119
2020-10-23,64
2020-10-24,38
2020-10-25,43
2020-10-26,81
2020-10-27,78
2020-10-28,46
2020-10-29,56
2020-10-30,38
2020-10-31,25
2020-11-01,11
2020-11-02,21
2020-11-03,64
2020-11-04,41
2020-11-05,43
2020-11-06,69
2020-11-07,25
2020-11-08,38
2020-11-09,63
2020-11-10,30
2020-11-11,66
2020-11-12,231
2020-11-13,25
2020-11-14,21
2020-11-15,76
2020-11-16,11
2020-11-17,27
2020-11-18,40
2020-11-19,178
2020-11-20,46
2020-11-21,15
2020-11-22,8
2020-11-23,68
2020-11-24,36
2020-11-25,47
2020-11-26,88
2020-11-27,74
2020-11-28,32
2020-11-29,9
2020-11-30,44
2020-12-01,26
2020-12-02,23
2020-12-03,32
2020-12-04,29
2020-12-05,18
2020-12-06,12
2020-12-07,19
2020-12-08,22
2020-12-09,40
2020-12-10,49
2020-12-11,52
2020-12-12,32
2020-12-13,25
2020-12-14,34
2020-12-15,45
2020-12-16,40
2020-12-17,24
2020-12-18,47
2020-12-19,16
2020-12-20,12
2020-12-21,27
2020-12-22,36
2020-12-23,28
2020-12-24,13
2020-12-25,5
2020-12-26,21
2020-12-27,9
