date,cases
2020-03-17,1
2020-03-19,1
2020-03-25,4
2020-03-31,1
2020-04-02,3
2020-04-04,1
2020-04-12,5
2020-04-13,2
2020-04-17,1
2020-04-18,1
2020-04-19,2
2020-04-21,2
2020-04-24,1
2020-05-01,1
2020-05-05,2
2020-05-06,2
2020-05-09,2
2020-05-11,1
2020-05-12,1
2020-05-13,1
2020-05-14,2
2020-05-15,1
2020-05-16,1
2020-05-17,3
2020-05-18,1
2020-05-19,1
2020-05-21,1
2020-05-22,3
2020-05-24,1
2020-05-25,2
2020-05-26,7
2020-05-28,3
2020-05-29,9
2020-05-30,3
2020-06-01,1
2020-06-02,1
2020-06-03,2
2020-06-06,3
2020-06-07,2
2020-06-08,10
2020-06-09,7
2020-06-10,2
2020-06-11,2
2020-06-12,2
2020-06-16,8
2020-06-17,5
2020-06-19,3
2020-06-20,2
2020-06-22,1
2020-06-24,3
2020-06-25,5
2020-06-26,3
2020-06-27,4
2020-06-28,3
2020-06-29,1
2020-06-30,14
2020-07-01,6
2020-07-02,6
2020-07-03,4
2020-07-04,2
2020-07-05,3
2020-07-06,5
2020-07-07,7
2020-07-08,7
2020-07-09,7
2020-07-10,9
2020-07-11,6
2020-07-12,9
2020-07-13,10
2020-07-14,10
2020-07-15,11
2020-07-16,14
2020-07-17,8
2020-07-18,5
2020-07-19,2
2020-07-20,8
2020-07-21,11
2020-07-22,10
2020-07-23,13
2020-07-24,19
2020-07-25,23
2020-07-26,2
2020-07-27,8
2020-07-28,11
2020-07-29,19
2020-07-30,11
2020-07-31,16
2020-08-01,6
2020-08-02,10
2020-08-03,22
2020-08-04,25
2020-08-05,10
2020-08-06,11
2020-08-07,9
2020-08-08,3
2020-08-09,3
2020-08-10,12
2020-08-11,19
2020-08-12,13
2020-08-13,19
2020-08-14,7
2020-08-15,3
2020-08-16,1
2020-08-17,5
2020-08-18,18
2020-08-19,11
2020-08-20,14
2020-08-21,19
2020-08-22,6
2020-08-23,4
2020-08-24,14
2020-08-25,9
2020-08-26,7
2020-08-27,15
2020-08-28,16
2020-08-29,2
2020-08-30,2
2020-08-31,12
2020-09-01,15
2020-09-02,14
2020-09-03,14
2020-09-04,23
2020-09-05,7
2020-09-06,2
2020-09-07,14
2020-09-08,20
2020-09-09,10
2020-09-10,21
2020-09-11,16
2020-09-12,14
2020-09-13,9
2020-09-14,18
2020-09-15,9
2020-09-16,18
2020-09-17,24
2020-09-18,24
2020-09-19,8
2020-09-20,6
2020-09-21,25
2020-09-22,25
2020-09-23,22
2020-09-24,7
2020-09-25,9
2020-09-26,8
2020-09-27,7
2020-09-28,20
2020-09-29,34
2020-09-30,24
2020-10-01,28
2020-10-02,29
2020-10-03,17
2020-10-04,9
2020-10-05,27
2020-10-06,24
2020-10-07,27
2020-10-08,24
2020-10-09,27
2020-10-10,20
2020-10-11,6
2020-10-12,6
2020-10-13,13
2020-10-14,15
2020-10-15,16
2020-10-16,23
2020-10-17,6
2020-10-18,7
2020-10-19,24
2020-10-20,9
2020-10-21,13
2020-10-22,14
2020-10-23,17
2020-10-24,6
2020-10-25,7
2020-10-26,28
2020-10-27,20
2020-10-28,6
2020-10-29,28
2020-10-30,25
2020-10-31,8
2020-11-01,3
2020-11-02,3
2020-11-03,8
2020-11-04,17
2020-11-05,11
2020-11-06,23
2020-11-07,9
2020-11-08,4
2020-11-09,13
2020-11-10,6
2020-11-11,15
2020-11-12,16
2020-11-13,18
2020-11-14,9
2020-11-15,4
2020-11-16,5
2020-11-17,14
2020-11-18,11
2020-11-19,11
2020-11-20,19
2020-11-21,12
2020-11-22,6
2020-11-23,25
2020-11-24,28
2020-11-25,25
2020-11-26,21
2020-11-27,25
2020-11-28,15
2020-11-29,11
2020-11-30,35
2020-12-01,16
2020-12-02,11
2020-12-03,16
2020-12-04,18
2020-12-05,7
2020-12-06,4
2020-12-07,17
2020-12-08,9
2020-12-09,18
2020-12-10,23
2020-12-11,36
2020-12-12,8
2020-12-13,8
2020-12-14,17
2020-12-15,17
2020-12-16,13
2020-12-17,29
2020-12-18,16
2020-12-19,5
2020-12-20,8
2020-12-21,21
2020-12-22,2
2020-12-23,1
2020-12-24,1
