date,cases
2020-07-07,1
2020-07-10,2
2020-07-12,3
2020-07-16,4
2020-07-18,5
2020-07-28,6
2020-07-29,9
2020-07-30,10
2020-07-31,11
2020-08-13,12
2020-08-15,13
2020-08-21,14
2020-08-23,15
2020-08-25,17
2020-08-27,18
2020-08-28,20
2020-09-01,21
2020-09-07,22
2020-09-08,23
2020-09-09,24
2020-09-10,25
2020-09-11,27
2020-09-14,28
2020-09-16,29
2020-09-21,30
2020-09-24,31
2020-09-27,32
2020-10-01,33
2020-10-03,34
2020-10-06,40
2020-10-07,41
2020-10-15,46
2020-10-19,48
2020-10-20,49
2020-10-21,51
2020-10-22,52
2020-10-23,53
2020-10-26,54
2020-10-27,55
2020-10-28,57
2020-10-29,58
2020-10-30,62
2020-11-03,63
2020-11-04,64
2020-11-07,67
2020-11-09,69
2020-11-10,70
2020-11-11,71
2020-11-12,72
2020-11-13,73
2020-11-14,75
2020-11-15,76
2020-11-21,78
