date,cases
2020-07-08,1
2020-07-11,2
2020-07-13,3
2020-07-14,24
2020-07-15,32
2020-07-16,33
2020-07-17,35
2020-07-18,36
2020-07-19,37
2020-07-21,40
2020-07-22,41
2020-07-30,43
2020-08-04,44
2020-08-07,45
2020-08-08,47
2020-08-10,48
2020-08-12,49
2020-08-14,50
2020-08-17,52
2020-08-19,54
2020-08-22,56
2020-08-23,57
2020-08-25,58
2020-08-28,59
2020-08-31,60
2020-09-01,61
2020-09-04,64
2020-09-09,65
2020-10-01,67
2020-10-03,69
2020-10-05,70
2020-10-06,72
2020-10-10,73
2020-10-16,74
2020-10-17,75
2020-10-25,76
2020-10-26,77
2020-10-29,78
2020-10-30,79
2020-10-31,80
2020-11-01,81
2020-11-07,83
2020-11-10,84
2020-11-13,85
2020-11-17,86
2020-11-19,87
2020-12-01,88
2020-12-04,89
2020-12-05,91
2020-12-08,92
2020-12-09,93
2020-12-17,95
2020-12-19,98
2020-12-21,99
2020-12-22,103
2020-12-23,104
2020-12-26,105
2020-12-27,107
2021-01-04,111
