date,cases
2020-06-22,1
2020-06-26,2
2020-07-09,3
2020-07-17,6
2020-07-18,8
2020-07-19,9
2020-07-24,11
2020-07-27,13
2020-07-30,20
2020-08-01,21
2020-08-02,23
2020-08-04,24
2020-08-08,26
2020-08-09,30
2020-08-10,31
2020-08-11,39
2020-08-12,41
2020-08-14,42
2020-08-15,44
2020-08-18,45
2020-08-19,49
2020-08-21,50
2020-08-24,53
2020-08-25,66
2020-08-27,71
2020-08-28,76
2020-08-31,77
2020-09-01,79
2020-09-04,80
2020-09-05,81
2020-09-06,82
2020-09-09,84
2020-09-14,85
2020-09-19,86
2020-09-24,87
2020-10-21,88
2020-11-10,89
