date,cases
2020-05-06,1
2020-07-10,5
2020-07-15,9
2020-07-19,28
2020-07-20,33
2020-07-22,34
2020-07-23,37
2020-07-24,44
2020-07-25,45
2020-07-30,48
2020-08-04,49
2020-08-06,53
2020-08-11,54
2020-08-14,60
2020-08-19,63
2020-08-22,64
2020-08-25,65
2020-08-27,76
2020-08-30,78
2020-09-09,79
2020-09-10,80
2020-09-15,82
2020-09-18,83
2020-09-20,84
2020-09-22,85
2020-09-23,89
2020-09-24,90
2020-09-27,92
2020-10-02,93
2020-10-21,96
2020-10-22,97
2020-10-26,98
2020-10-27,99
2020-10-29,101
2020-10-31,102
2020-11-02,104
2020-11-04,105
2020-11-11,106
2020-11-20,107
2020-11-21,109
2020-11-23,126
2020-11-25,127
2020-11-26,128
2020-11-27,131
2020-11-30,132
2020-12-02,133
2020-12-06,134
2020-12-07,136
2020-12-09,139
2020-12-15,143
2020-12-16,145
2020-12-17,146
2020-12-18,147
2020-12-19,148
2020-12-20,149
2020-12-21,151
2020-12-23,156
2020-12-25,160
2020-12-27,162
2020-12-28,163
2021-01-03,164
2021-01-04,165
