date,cases
2020-07-15,1
2020-07-17,2
2020-07-18,4
2020-07-19,6
2020-07-21,7
2020-07-23,8
2020-07-24,11
2020-07-25,12
2020-07-27,13
2020-07-28,15
2020-07-30,17
2020-08-01,19
2020-08-02,20
2020-08-03,22
2020-08-05,24
2020-08-06,27
2020-08-08,32
2020-08-12,34
2020-08-13,35
2020-08-14,37
2020-08-15,39
2020-08-20,40
2020-08-23,41
2020-08-24,44
2020-08-26,45
2020-08-27,46
2020-08-28,47
2020-08-29,48
2020-08-31,49
2020-09-02,55
2020-09-04,56
2020-09-05,58
2020-09-07,59
2020-09-08,60
2020-09-12,61
2020-09-14,64
2020-09-17,68
2020-09-21,71
2020-09-22,72
2020-09-23,74
2020-09-24,76
2020-09-25,78
2020-10-02,79
2020-10-05,80
2020-10-13,82
2020-10-14,84
2020-10-15,86
2020-10-24,87
2020-10-25,89
2020-10-26,90
2020-10-27,91
2020-10-31,92
2020-11-03,94
2020-11-06,95
2020-11-09,97
2020-11-10,98
2020-11-12,99
2020-11-13,103
2020-11-18,108
2020-11-19,109
2020-11-23,110
2020-11-26,111
2020-11-27,113
2020-11-28,114
2020-12-01,116
2020-12-03,118
2020-12-04,120
2020-12-08,121
2020-12-11,123
2020-12-12,124
2020-12-14,126
2020-12-15,127
2020-12-17,128
2020-12-18,130
2020-12-19,131
2020-12-21,134
2020-12-22,137
2020-12-24,138
