date,cases
2020-03-28,1
2020-06-30,2
2020-07-07,4
2020-07-08,6
2020-07-13,7
2020-07-14,8
2020-07-15,9
2020-07-19,15
2020-07-20,18
2020-07-21,20
2020-07-23,21
2020-07-25,22
2020-07-30,23
2020-07-31,24
2020-08-01,25
2020-08-03,26
2020-08-18,28
2020-08-19,29
2020-08-20,31
2020-08-24,32
2020-08-25,40
2020-08-26,46
2020-08-27,50
2020-08-30,52
2020-08-31,56
2020-09-01,64
2020-09-03,66
2020-09-04,67
2020-09-05,69
2020-09-06,75
2020-09-08,85
2020-09-09,86
2020-09-10,88
2020-09-11,92
2020-09-12,95
2020-09-13,97
2020-09-14,98
2020-09-15,106
2020-09-16,114
2020-09-17,115
2020-09-18,119
2020-09-19,121
2020-09-20,122
2020-09-21,125
2020-09-22,126
2020-09-23,138
2020-09-25,143
2020-09-26,147
2020-09-28,151
2020-09-29,160
2020-09-30,161
2020-10-01,168
2020-10-02,169
2020-10-03,174
2020-10-04,176
2020-10-06,177
2020-10-07,185
2020-10-09,186
2020-10-10,189
2020-10-12,203
2020-10-13,204
2020-10-15,206
2020-10-16,209
2020-10-17,215
2020-10-18,216
2020-10-19,241
2020-10-20,249
2020-10-21,256
2020-10-22,302
2020-10-23,316
2020-10-24,319
2020-10-25,320
2020-10-28,325
2020-10-30,327
