date,cases
2020-07-28,1
2020-08-19,2
2020-08-24,4
2020-09-05,6
2020-09-08,7
2020-09-10,8
2020-09-11,11
2020-09-15,12
2020-09-17,14
2020-09-19,15
2020-09-20,16
2020-09-22,17
2020-09-25,18
2020-09-27,19
2020-09-28,22
2020-09-29,25
2020-09-30,27
2020-10-02,28
2020-10-07,29
2020-10-13,31
2020-10-16,33
2020-10-22,34
2020-10-23,35
2020-10-25,36
2020-10-26,37
2020-10-27,38
2020-10-31,39
2020-11-01,40
2020-11-04,44
2020-11-06,45
2020-11-08,46
2020-11-09,47
2020-11-10,51
2020-11-12,53
2020-11-16,55
2020-11-17,56
2020-11-21,57
2020-11-22,60
