date,cases
2020-05-08,204
2020-05-20,79
2020-05-21,106
2020-05-28,142
2020-06-04,180
2020-06-05,188
2020-06-12,16
2020-06-16,40
2020-06-23,116
2020-06-24,122
2020-06-25,128
2020-06-28,143
2020-07-02,74
2020-07-03,160
2020-07-04,182
2020-07-07,196
2020-07-08,206
2020-07-11,11
2020-07-12,18
2020-07-15,36
2020-07-16,43
2020-07-18,52
2020-07-20,84
2020-07-23,118
2020-07-25,130
2020-07-27,135
2020-07-28,144
2020-07-29,154
2020-07-30,174
2020-07-31,175
2020-08-01,1
2020-08-02,75
2020-08-03,162
2020-08-06,192
2020-08-07,201
2020-08-10,5
2020-08-12,19
2020-08-13,26
2020-08-14,31
2020-08-15,38
2020-08-16,45
2020-08-17,51
2020-08-18,56
2020-08-19,62
2020-08-20,86
2020-08-21,109
2020-08-22,111
2020-08-23,120
2020-08-24,126
2020-08-25,131
2020-08-26,133
2020-08-27,141
2020-08-28,151
2020-08-29,157
2020-08-31,178
2020-09-01,3
2020-09-02,77
2020-09-03,173
2020-09-04,187
2020-09-05,191
2020-09-06,193
2020-09-07,203
2020-09-08,208
2020-09-09,209
2020-09-10,7
2020-09-11,14
2020-09-13,28
2020-09-15,39
2020-09-16,47
2020-09-18,58
2020-09-19,72
2020-09-20,105
2020-09-22,112
2020-09-23,121
2020-10-03,158
2020-10-04,179
2020-10-12,15
2020-10-13,21
2020-10-15,32
2020-10-19,61
2020-10-20,78
2020-10-22,110
2020-10-23,115
