date,cases
2020-06-02,1
2020-06-30,2
2020-07-03,7
2020-07-06,8
2020-07-07,9
2020-07-08,10
2020-07-10,14
2020-07-13,15
2020-07-14,16
2020-07-15,20
2020-07-17,21
2020-07-19,22
2020-07-21,25
2020-07-22,26
2020-07-25,28
2020-07-28,33
2020-07-31,43
2020-08-01,47
2020-08-04,48
2020-08-06,49
2020-08-07,50
2020-08-08,60
2020-08-16,63
2020-08-17,69
2020-08-18,70
2020-08-19,71
2020-08-20,76
2020-08-21,83
2020-08-24,88
2020-08-25,95
2020-08-26,101
2020-08-27,103
2020-08-28,105
2020-08-29,109
2020-08-30,110
2020-08-31,112
2020-09-03,114
2020-09-04,115
2020-09-06,118
2020-09-07,119
2020-09-08,124
2020-09-09,125
2020-09-10,130
2020-09-11,131
2020-09-12,133
2020-09-14,137
2020-09-15,141
2020-09-16,143
2020-09-17,144
2020-09-18,145
2020-09-19,149
2020-09-20,151
2020-09-21,154
2020-09-22,158
2020-09-23,164
2020-09-24,167
2020-09-25,175
2020-09-26,179
2020-09-27,182
2020-09-28,193
2020-09-29,202
2020-09-30,206
2020-10-01,214
2020-10-02,219
2020-10-03,223
2020-10-04,227
2020-10-05,236
2020-10-06,239
2020-10-07,266
2020-10-08,274
2020-10-09,280
2020-10-10,285
2020-10-11,288
2020-10-13,298
2020-10-14,310
2020-10-15,319
2020-10-16,323
2020-10-17,325
2020-10-19,334
2020-10-20,337
2020-10-21,343
2020-10-22,347
2020-10-23,351
2020-10-28,352
2020-10-30,355
