date,cases
2020-07-21,1
2020-07-31,2
2020-08-03,7
2020-08-06,8
2020-08-11,9
2020-08-16,10
2020-08-22,11
2020-08-24,12
2020-08-25,13
2020-08-27,14
2020-09-12,15
2020-09-14,17
2020-09-15,19
2020-09-25,22
2020-10-02,23
2020-10-03,24
2020-10-05,27
2020-10-08,28
2020-10-14,30
2020-10-17,31
2020-10-19,32
2020-10-23,33
2020-10-26,35
2020-10-27,36
2020-10-28,39
2020-10-31,41
2020-11-01,42
2020-11-04,43
2020-11-07,46
2020-11-08,47
2020-11-09,48
2020-11-11,49
2020-11-12,50
2020-11-13,51
2020-11-17,53
2020-11-18,57
2020-11-19,58
2020-11-25,60
2020-11-27,61
2020-12-01,64
2020-12-05,66
2020-12-06,69
2020-12-07,71
2020-12-11,73
2020-12-22,74
