date,cases
2020-03-30,1
2020-04-03,2
2020-04-06,3
2020-04-09,4
2020-04-10,5
2020-04-24,6
2020-05-07,7
2020-05-11,8
2020-05-16,14
2020-05-18,15
2020-05-19,16
2020-05-20,18
2020-05-25,19
2020-05-27,20
2020-05-28,21
2020-05-30,22
2020-06-01,31
2020-06-02,49
2020-06-03,53
2020-06-04,55
2020-06-05,74
2020-06-06,79
2020-06-08,100
2020-06-09,111
2020-06-10,113
2020-06-11,121
2020-06-12,124
2020-06-13,125
2020-06-16,128
2020-06-17,137
2020-06-18,212
2020-06-19,216
2020-06-21,217
2020-06-22,218
2020-06-23,230
2020-06-24,241
2020-06-25,254
2020-06-26,272
2020-06-27,289
2020-06-28,291
2020-06-29,302
2020-06-30,369
2020-07-01,380
2020-07-02,384
2020-07-03,397
2020-07-04,406
2020-07-05,410
2020-07-06,431
2020-07-07,439
2020-07-08,451
2020-07-09,463
2020-07-10,490
2020-07-11,501
2020-07-12,515
2020-07-13,543
2020-07-14,570
2020-07-15,584
2020-07-16,605
2020-07-17,631
2020-07-18,656
2020-07-19,670
2020-07-20,697
2020-07-21,735
2020-07-22,800
2020-07-23,831
2020-07-24,896
2020-07-25,975
2020-07-26,1010
2020-07-27,1055
2020-07-28,1109
2020-07-29,1145
2020-07-30,1185
2020-07-31,1226
2020-08-01,1273
2020-08-02,1304
2020-08-03,1332
2020-08-04,1390
2020-08-05,1465
2020-08-06,1528
2020-08-07,1568
2020-08-08,1651
2020-08-09,1680
2020-08-10,1771
2020-08-11,1836
2020-08-12,1887
2020-08-13,1960
2020-08-14,2034
2020-08-15,2108
2020-08-16,2135
2020-08-17,2172
2020-08-18,2266
2020-08-19,2341
2020-08-20,2448
2020-08-21,2538
2020-08-22,2622
2020-08-23,2647
2020-08-24,2904
2020-08-25,3053
2020-08-26,3256
2020-08-27,3346
2020-08-28,3446
2020-08-29,3512
2020-08-30,3556
2020-08-31,3644
2020-09-01,3787
2020-09-02,3858
2020-09-03,3967
2020-09-04,4076
2020-09-05,4139
2020-09-06,4180
2020-09-07,4295
2020-09-08,4440
2020-09-09,4540
2020-09-10,4666
2020-09-11,4732
2020-09-12,4832
2020-09-13,4905
2020-09-14,5010
2020-09-15,5231
2020-09-16,5294
2020-09-17,5353
2020-09-18,5445
2020-09-19,5500
2020-09-20,5530
2020-09-21,5622
2020-09-22,5717
2020-09-23,5783
2020-09-24,5828
2020-09-25,5922
2020-09-26,5991
2020-09-27,6027
2020-09-28,6122
2020-09-29,6198
2020-09-30,6271
2020-10-01,6340
2020-10-02,6469
2020-10-03,6520
2020-10-04,6532
2020-10-05,6650
2020-10-06,6758
2020-10-07,6858
2020-10-08,6955
2020-10-09,7073
2020-10-10,7113
2020-10-11,7134
2020-10-12,7170
2020-10-13,7253
2020-10-14,7311
2020-10-15,7389
2020-10-16,7482
2020-10-17,7518
2020-10-18,7549
2020-10-19,7611
2020-10-20,7678
2020-10-21,7746
2020-10-22,7802
2020-10-23,7888
2020-10-24,7949
2020-10-25,8008
2020-10-26,8098
2020-10-27,8190
2020-10-28,8226
2020-10-29,8252
2020-10-30,8295
2020-10-31,8315
2020-11-01,8336
2020-11-02,8365
2020-11-03,8420
2020-11-04,8435
2020-11-05,8460
2020-11-06,8513
2020-11-07,8538
2020-11-08,8566
2020-11-09,8624
2020-11-10,8665
2020-11-11,8677
2020-11-12,8733
2020-11-13,8796
2020-11-14,8833
2020-11-15,8853
2020-11-16,8863
2020-11-17,8879
2020-11-18,8898
2020-11-19,8932
2020-11-20,8953
2020-11-21,8971
2020-11-22,8976
2020-11-23,9017
2020-11-24,9023
2020-11-25,9060
2020-11-26,9096
2020-11-27,9106
2020-11-28,9112
