date,cases
2020-03-14,6484
2020-03-16,9054
2020-03-18,11755
2020-03-19,13340
2020-03-20,15862
2020-03-21,17022
2020-03-22,18173
2020-03-23,19319
2020-03-24,20661
2020-03-25,21993
2020-03-26,23330
2020-03-27,24827
2020-03-28,26233
2020-03-30,30052
2020-03-31,31355
2020-04-01,70
2020-04-02,14643
2020-04-03,28695
2020-04-04,31779
2020-04-05,33165
2020-04-06,34344
2020-04-07,35796
2020-04-08,36899
2020-04-09,38428
2020-04-10,1357
2020-04-11,2571
2020-04-12,3807
2020-04-13,5056
2020-04-14,6488
2020-04-15,7783
2020-04-16,9058
2020-04-17,10477
2020-04-18,11760
2020-04-19,13343
2020-04-20,15870
2020-04-21,17030
2020-04-22,18181
2020-04-23,19324
2020-04-24,20668
2020-04-25,22019
2020-04-26,23344
2020-04-27,24850
2020-04-28,26245
2020-04-29,27588
2020-04-30,30114
2020-05-01,107
2020-05-02,14684
2020-05-03,28732
2020-05-04,31838
2020-05-05,33239
2020-05-06,34446
2020-05-07,35899
2020-05-08,37003
2020-05-09,38487
2020-05-10,1409
2020-05-11,2670
2020-05-12,3911
2020-05-13,5144
2020-05-14,6579
2020-05-15,7880
2020-05-16,9162
2020-05-17,10545
2020-05-18,11872
2020-05-19,13461
2020-05-20,16028
2020-05-21,17197
2020-05-22,18288
2020-05-23,19472
2020-05-24,20773
2020-05-25,22175
2020-05-26,23523
2020-05-27,25013
2020-05-28,26412
2020-05-29,27760
2020-05-30,30289
2020-05-31,31494
2020-06-01,399
2020-06-02,14913
2020-06-03,28984
2020-06-04,32099
2020-06-05,33594
2020-06-06,34735
2020-06-07,36108
2020-06-08,37460
2020-06-09,38940
2020-06-10,1789
2020-06-11,3113
2020-06-12,4373
2020-06-13,5675
2020-06-14,6921
2020-06-15,8175
2020-06-16,9833
2020-06-17,11187
2020-06-18,12423
2020-06-19,14121
2020-06-20,16578
2020-06-21,17554
2020-06-22,18689
2020-06-23,20207
2020-06-24,21535
2020-06-25,22774
2020-06-26,24397
2020-06-27,25577
2020-06-28,26989
2020-06-29,28261
2020-06-30,30913
2020-07-01,1031
2020-07-02,15494
2020-07-03,29649
2020-07-04,32858
2020-07-05,34085
2020-07-06,35328
2020-07-07,36625
2020-07-08,38131
2020-07-09,39361
2020-07-10,2328
2020-07-11,3570
2020-07-12,4782
2020-07-13,6210
2020-07-14,7457
2020-07-15,8755
2020-07-16,10259
2020-07-17,11559
2020-07-18,13033
2020-07-19,14348
2020-07-20,16754
2020-07-21,17865
2020-07-22,18948
2020-07-23,20525
2020-07-24,21794
2020-07-25,23119
2020-07-26,24617
2020-07-27,26002
2020-07-28,27339
2020-07-29,28462
2020-07-30,31247
2020-07-31,31629
2020-08-01,1205
2020-08-02,15656
2020-08-03,29917
2020-08-04,32996
2020-08-05,34218
2020-08-06,35697
2020-08-07,36722
2020-08-08,38287
2020-08-09,39413
2020-08-10,2461
2020-08-11,3702
2020-08-12,4893
2020-08-13,6319
2020-08-14,7571
2020-08-15,8841
2020-08-16,10310
2020-08-17,11613
2020-08-18,13122
2020-08-19,14425
2020-08-20,16837
2020-08-21,17948
2020-08-22,19155
2020-08-23,20558
2020-08-24,21926
2020-08-25,23196
2020-08-26,24686
2020-08-27,26100
2020-08-28,27410
2020-08-29,28548
2020-08-30,31283
2020-08-31,31733
2020-09-01,1265
2020-09-02,15694
2020-09-03,30038
2020-09-04,33079
2020-09-05,34279
2020-09-06,35726
2020-09-07,36790
2020-09-08,38365
2020-09-09,39488
2020-09-10,2529
2020-09-11,3750
2020-09-12,4967
2020-09-13,6381
2020-09-14,7679
2020-09-15,8917
2020-09-16,10347
2020-09-17,11681
2020-09-18,13169
2020-09-19,14527
2020-09-20,16898
2020-09-21,18056
2020-09-22,19222
2020-09-23,20607
2020-09-24,21972
2020-09-25,23262
2020-09-26,24764
2020-09-27,26170
2020-09-28,27518
2020-09-29,28626
2020-09-30,31337
2020-10-01,60
2020-10-02,14640
2020-10-03,28691
2020-10-04,31778
2020-10-05,33164
2020-10-06,34340
2020-10-07,35791
2020-10-08,36897
2020-10-09,38427
2020-10-10,1356
2020-10-11,2570
2020-10-12,3805
2020-10-13,5049
2020-10-14,6483
2020-10-15,7774
2020-10-16,9052
2020-10-17,10469
2020-10-18,11753
2020-10-19,13339
2020-10-20,15859
2020-10-21,17019
2020-10-22,18172
2020-10-23,19313
2020-10-24,20657
2020-10-25,21987
2020-10-26,23328
2020-10-27,24822
2020-10-28,26225
2020-10-29,27562
2020-10-30,30048
2020-10-31,31353
2020-11-01,62
