date,cases
2020-03-26,1
2020-04-03,2
2020-04-04,3
2020-04-05,5
2020-04-06,6
2020-04-07,9
2020-04-08,10
2020-04-11,12
2020-04-12,14
2020-04-13,16
2020-04-14,17
2020-04-15,18
2020-04-16,22
2020-04-17,25
2020-04-20,27
2020-04-21,31
2020-04-22,32
2020-04-23,34
2020-04-24,36
2020-04-27,37
2020-04-28,42
2020-04-29,45
2020-04-30,52
2020-05-02,58
2020-05-03,60
2020-05-04,62
2020-05-05,65
2020-05-06,71
2020-05-07,76
2020-05-08,89
2020-05-09,106
2020-05-11,119
2020-05-12,126
2020-05-13,143
2020-05-14,152
2020-05-15,168
2020-05-16,194
2020-05-17,277
2020-05-18,295
2020-05-19,309
2020-05-20,335
2020-05-21,357
2020-05-22,401
2020-05-23,436
2020-05-24,481
2020-05-25,487
2020-05-26,525
2020-05-27,551
2020-05-28,578
2020-05-29,609
2020-05-30,646
2020-05-31,650
2020-06-01,727
2020-06-02,769
2020-06-03,833
2020-06-04,876
2020-06-05,911
2020-06-06,943
2020-06-07,964
2020-06-08,993
2020-06-09,1028
2020-06-10,1047
2020-06-11,1081
2020-06-12,1110
2020-06-13,1143
2020-06-14,1146
2020-06-15,1162
2020-06-16,1199
2020-06-17,1228
2020-06-18,1243
2020-06-19,1263
2020-06-20,1284
2020-06-21,1290
2020-06-22,1306
2020-06-23,1344
2020-06-24,1365
2020-06-25,1434
2020-06-26,1467
2020-06-27,1483
2020-06-28,1486
2020-06-29,1509
2020-06-30,1533
2020-07-01,1566
2020-07-02,1594
2020-07-03,1614
2020-07-04,1621
2020-07-05,1630
2020-07-06,1688
2020-07-07,1738
2020-07-08,1753
2020-07-09,1763
2020-07-10,1802
2020-07-11,1818
2020-07-12,1819
2020-07-13,1830
2020-07-14,1846
2020-07-15,1865
2020-07-16,1878
2020-07-17,1893
2020-07-18,1902
2020-07-19,1908
2020-07-20,1913
2020-07-21,1932
2020-07-22,1949
2020-07-23,1967
2020-07-24,1985
2020-07-25,1991
2020-07-26,1995
2020-07-27,2002
2020-07-28,2019
2020-07-29,2033
2020-07-30,2039
2020-07-31,2055
2020-08-01,2065
2020-08-02,2074
2020-08-03,2090
2020-08-04,2112
2020-08-05,2126
2020-08-06,2146
2020-08-07,2161
2020-08-08,2168
2020-08-09,2170
2020-08-10,2178
2020-08-11,2187
2020-08-12,2194
2020-08-13,2196
2020-08-14,2202
2020-08-15,2210
2020-08-16,2211
2020-08-17,2216
2020-08-18,2217
2020-08-19,2220
2020-08-20,2231
2020-08-21,2246
2020-08-23,2248
2020-08-24,2250
2020-08-25,2261
2020-08-26,2267
2020-08-27,2272
2020-08-28,2273
2020-08-29,2274
2020-08-30,2275
2020-08-31,2278
2020-09-01,2300
2020-09-02,2320
2020-09-03,2330
2020-09-04,2334
2020-09-05,2339
2020-09-06,2340
2020-09-07,2349
2020-09-08,2360
2020-09-09,2361
2020-09-10,2372
2020-09-11,2373
2020-09-12,2374
2020-09-13,2377
2020-09-14,2380
2020-09-15,2385
2020-09-16,2388
2020-09-17,2389
2020-09-19,2393
2020-09-21,2398
2020-09-22,2400
2020-09-23,2404
2020-09-24,2407
2020-09-25,2408
2020-09-26,2409
2020-09-27,2413
2020-09-28,2417
2020-09-29,2419
2020-09-30,2422
2020-10-01,2424
2020-10-02,2427
2020-10-03,2429
2020-10-05,2430
2020-10-06,2435
2020-10-07,2437
2020-10-10,2439
2020-10-11,2441
2020-10-12,2443
2020-10-13,2445
2020-10-14,2461
2020-10-15,2463
2020-10-16,2468
2020-10-17,2472
2020-10-18,2475
2020-10-19,2477
2020-10-20,2484
2020-10-21,2485
2020-10-22,2489
2020-10-23,2494
2020-10-24,2500
2020-10-25,2504
2020-10-26,2519
2020-10-27,2523
2020-10-28,2531
2020-10-29,2545
2020-10-30,2551
2020-10-31,2554
2020-11-01,2559
2020-11-02,2560
2020-11-03,2572
2020-11-04,2581
2020-11-05,2597
2020-11-06,2603
2020-11-07,2604
2020-11-08,2611
2020-11-09,2615
2020-11-10,2618
2020-11-11,2625
2020-11-12,2629
2020-11-13,2637
2020-11-15,2638
2020-11-17,2640
2020-11-18,2654
2020-11-19,2656
2020-11-20,2660
2020-11-21,2662
2020-11-22,2663
2020-11-23,2665
