date,cases
2020-05-22,148
2020-05-26,255
2020-05-30,303
2020-06-01,3
2020-06-06,354
2020-06-13,54
2020-06-17,100
2020-06-23,180
2020-06-24,201
2020-06-27,263
2020-06-30,304
2020-07-01,7
2020-07-03,301
2020-07-04,337
2020-07-06,356
2020-07-07,367
2020-07-08,375
2020-07-09,389
2020-07-10,23
2020-07-11,37
2020-07-13,55
2020-07-14,63
2020-07-15,69
2020-07-16,81
2020-07-20,134
2020-07-22,154
2020-07-23,186
2020-07-24,203
2020-07-25,243
2020-07-26,257
2020-07-28,273
2020-07-29,283
2020-07-30,305
2020-07-31,327
2020-08-01,9
2020-08-02,128
2020-08-05,346
2020-08-06,361
2020-08-08,378
2020-08-10,27
2020-08-11,42
2020-08-12,51
2020-08-13,56
2020-08-14,67
2020-08-15,72
2020-08-16,86
2020-08-17,103
2020-08-18,115
2020-08-19,119
2020-08-20,138
2020-08-21,141
2020-08-22,163
2020-08-23,187
2020-08-24,216
2020-08-25,247
2020-08-27,269
2020-08-28,279
2020-08-30,314
2020-08-31,330
2020-09-01,13
2020-09-03,302
2020-09-04,339
2020-09-05,348
2020-09-06,362
2020-09-08,382
2020-09-09,390
2020-09-10,35
2020-09-13,58
2020-09-15,75
2020-09-16,96
2020-09-17,106
2020-09-18,116
2020-09-19,121
2020-09-21,145
2020-09-22,175
2020-09-23,200
2020-09-24,237
2020-09-25,254
2020-09-26,260
2020-09-27,270
2020-09-28,282
2020-09-29,288
2020-09-30,319
2020-10-01,2
2020-10-02,125
2020-10-03,291
2020-10-04,333
2020-10-05,345
2020-10-06,352
2020-10-07,365
2020-10-08,372
2020-10-09,388
2020-10-10,14
2020-10-11,36
2020-10-12,43
2020-10-13,53
2020-10-14,59
2020-10-16,76
2020-10-17,99
2020-10-18,107
2020-10-20,133
2020-10-22,147
2020-10-23,176
2020-10-27,261
2020-10-28,272
