date,cases
2020-07-13,1
2020-07-16,4
2020-07-17,5
2020-07-19,6
2020-07-20,8
2020-07-21,10
2020-07-23,13
2020-07-25,16
2020-07-26,17
2020-07-28,21
2020-07-29,23
2020-07-30,25
2020-07-31,26
2020-08-01,29
2020-08-04,30
2020-08-05,31
2020-08-07,37
2020-08-08,39
2020-08-09,41
2020-08-10,42
2020-08-12,43
2020-08-20,44
2020-08-21,45
2020-09-03,47
2020-09-04,48
2020-09-05,49
2020-09-08,50
2020-09-10,52
2020-09-11,59
2020-09-14,61
2020-09-15,62
2020-09-16,70
2020-09-17,72
2020-09-18,76
2020-09-20,77
2020-09-22,78
2020-09-23,84
2020-09-24,85
2020-09-25,92
2020-09-28,94
2020-09-29,97
2020-10-01,101
2020-10-02,105
2020-10-05,106
2020-10-06,107
2020-10-07,108
2020-10-08,111
2020-10-09,112
2020-10-10,114
2020-10-12,115
2020-10-13,117
2020-10-14,118
2020-10-15,120
2020-10-17,121
2020-10-18,122
2020-10-19,123
2020-10-20,130
2020-10-21,134
2020-10-22,135
2020-10-23,136
2020-10-25,137
2020-10-26,140
2020-10-27,144
2020-10-28,145
2020-10-29,147
2020-10-30,148
2020-10-31,149
2020-11-03,152
2020-11-08,154
2020-11-09,155
2020-11-17,156
2020-11-22,158
2020-11-29,159
2020-12-01,160
