date,cases
2020-06-30,56
2020-07-17,20
2020-07-27,50
2020-07-30,57
2020-07-31,59
2020-08-03,55
2020-08-11,5
2020-08-15,16
2020-08-18,22
2020-08-19,24
2020-08-20,31
2020-08-21,36
2020-08-22,38
2020-08-23,42
2020-08-24,47
2020-08-27,51
2020-08-28,53
2020-08-29,54
2020-08-31,60
2020-09-04,69
2020-09-05,73
2020-09-07,76
2020-09-08,83
2020-09-10,4
2020-09-14,15
2020-09-15,17
2020-09-18,23
2020-09-20,32
2020-09-21,37
2020-09-22,41
2020-09-24,48
2020-09-25,49
2020-09-27,52
2020-09-30,58
2020-10-01,1
2020-10-02,27
2020-10-05,71
2020-10-07,74
2020-10-10,2
2020-10-13,6
2020-10-14,7
2020-10-16,18
2020-10-20,30
2020-10-21,33
