date,cases
2020-03-16,1
2020-03-17,2
2020-03-18,3
2020-03-20,4
2020-03-25,5
2020-03-26,6
2020-03-27,7
2020-03-28,8
2020-04-01,9
2020-04-03,10
2020-04-09,11
2020-04-11,12
2020-04-13,13
2020-04-16,14
2020-04-17,15
2020-04-18,16
2020-04-21,18
2020-05-08,19
2020-05-12,20
2020-05-19,23
2020-05-20,24
2020-05-21,26
2020-05-22,27
2020-05-25,28
2020-05-26,31
2020-05-27,34
2020-05-29,37
2020-05-30,39
2020-06-01,43
2020-06-02,45
2020-06-03,49
2020-06-05,51
2020-06-06,52
2020-06-07,53
2020-06-09,54
2020-06-11,60
2020-06-12,61
2020-06-13,64
2020-06-15,65
2020-06-16,68
2020-06-17,70
2020-06-18,71
2020-06-19,72
2020-06-20,76
2020-06-21,80
2020-06-23,82
2020-06-24,83
2020-06-25,88
2020-06-26,90
2020-06-27,94
2020-06-28,96
2020-06-29,98
2020-06-30,102
2020-07-02,105
2020-07-03,109
2020-07-04,110
2020-07-05,119
2020-07-06,125
2020-07-07,142
2020-07-08,154
2020-07-09,162
2020-07-10,168
2020-07-11,180
2020-07-12,182
2020-07-13,194
2020-07-14,206
2020-07-15,214
2020-07-16,228
2020-07-17,246
2020-07-18,259
2020-07-19,263
2020-07-20,286
2020-07-21,300
2020-07-22,312
2020-07-23,338
2020-07-24,359
2020-07-25,369
2020-07-26,394
2020-07-27,407
2020-07-28,420
2020-07-29,439
2020-07-30,467
2020-07-31,484
2020-08-01,502
2020-08-02,513
2020-08-03,533
2020-08-04,563
2020-08-05,591
2020-08-06,625
2020-08-07,637
2020-08-08,657
2020-08-09,672
2020-08-10,691
2020-08-11,705
2020-08-12,722
2020-08-13,749
2020-08-14,768
2020-08-15,783
2020-08-16,795
2020-08-17,818
2020-08-18,836
2020-08-19,850
2020-08-20,870
2020-08-21,885
2020-08-22,905
2020-08-23,918
2020-08-24,959
2020-08-25,971
2020-08-26,994
2020-08-27,1016
2020-08-28,1030
2020-08-29,1055
2020-08-30,1069
2020-08-31,1089
2020-09-01,1111
2020-09-02,1128
2020-09-03,1150
2020-09-04,1165
2020-09-05,1174
2020-09-06,1181
2020-09-07,1202
2020-09-08,1217
2020-09-09,1230
2020-09-10,1242
2020-09-11,1265
2020-09-12,1283
2020-09-13,1304
2020-09-14,1318
2020-09-15,1342
2020-09-16,1358
2020-09-17,1366
2020-09-18,1381
2020-09-19,1389
2020-09-20,1405
2020-09-21,1421
2020-09-22,1442
2020-09-23,1459
2020-09-24,1465
2020-09-25,1471
2020-09-26,1482
2020-09-27,1495
2020-09-28,1510
2020-09-29,1527
2020-09-30,1537
2020-10-01,1545
2020-10-02,1566
2020-10-03,1576
2020-10-04,1591
2020-10-05,1613
2020-10-06,1621
2020-10-07,1642
2020-10-08,1664
2020-10-09,1688
2020-10-10,1700
2020-10-11,1702
2020-10-12,1713
2020-10-13,1741
2020-10-14,1760
2020-10-15,1778
2020-10-16,1787
2020-10-17,1815
2020-10-18,1839
2020-10-19,1875
2020-10-20,1902
2020-10-21,1928
2020-10-22,1946
2020-10-23,1973
2020-10-24,1983
2020-10-25,1996
2020-10-26,2029
2020-10-27,2045
2020-10-28,2052
2020-10-29,2063
2020-10-30,2073
2020-10-31,2097
2020-11-01,2118
2020-11-02,2130
2020-11-03,2155
2020-11-04,2177
2020-11-05,2196
2020-11-06,2209
2020-11-07,2226
2020-11-08,2242
2020-11-09,2281
2020-11-10,2315
2020-11-11,2324
2020-11-12,2351
2020-11-13,2386
2020-11-14,2408
2020-11-15,2419
2020-11-16,2425
2020-11-17,2430
2020-11-18,2447
2020-11-19,2464
2020-11-20,2479
2020-11-21,2482
2020-11-22,2490
2020-11-23,2503
2020-11-24,2515
2020-11-25,2524
2020-11-26,2531
2020-11-27,2545
2020-11-28,2546
