date,cases
2020-03-13,1
2020-03-14,3
2020-03-16,6
2020-03-17,12
2020-03-18,13
2020-03-19,18
2020-03-20,26
2020-03-21,33
2020-03-22,45
2020-03-23,53
2020-03-24,67
2020-03-25,93
2020-03-26,109
2020-03-27,127
2020-03-28,143
2020-03-29,156
2020-03-30,178
2020-03-31,207
2020-04-01,230
2020-04-02,247
2020-04-03,271
2020-04-04,294
2020-04-05,309
2020-04-06,343
2020-04-07,359
2020-04-08,374
2020-04-09,400
2020-04-10,413
2020-04-11,447
2020-04-12,453
2020-04-13,474
2020-04-14,490
2020-04-15,503
2020-04-16,535
2020-04-17,553
2020-04-18,574
2020-04-19,585
2020-04-20,605
2020-04-21,634
2020-04-22,667
2020-04-23,691
2020-04-24,715
2020-04-25,736
2020-04-26,754
2020-04-27,790
2020-04-28,827
2020-04-29,857
2020-04-30,888
2020-05-01,904
2020-05-02,934
2020-05-03,955
2020-05-04,995
2020-05-05,1047
2020-05-06,1092
2020-05-07,1141
2020-05-08,1177
2020-05-09,1219
2020-05-10,1250
2020-05-11,1315
2020-05-12,1377
2020-05-13,1422
2020-05-14,1509
2020-05-15,1593
2020-05-16,1647
2020-05-17,1700
2020-05-18,1793
2020-05-19,1865
2020-05-20,1977
2020-05-21,2100
2020-05-22,2211
2020-05-23,2298
2020-05-24,2360
2020-05-25,2432
2020-05-26,2542
2020-05-27,2651
2020-05-28,2751
2020-05-29,2867
2020-05-30,2932
2020-05-31,2983
2020-06-01,3120
2020-06-02,3227
2020-06-03,3325
2020-06-04,3503
2020-06-05,3613
2020-06-06,3726
2020-06-07,3928
2020-06-08,4181
2020-06-09,4406
2020-06-10,4596
2020-06-11,4836
2020-06-12,5056
2020-06-13,5157
2020-06-14,5249
2020-06-15,5352
2020-06-16,5569
2020-06-17,5760
2020-06-18,5946
2020-06-19,6157
2020-06-20,6295
2020-06-21,6395
2020-06-22,6598
2020-06-23,6845
2020-06-24,7130
2020-06-25,7501
2020-06-26,7903
2020-06-27,8148
2020-06-28,8382
2020-06-29,8589
2020-06-30,8985
2020-07-01,9402
2020-07-02,9729
2020-07-03,10179
2020-07-04,10468
2020-07-05,10752
2020-07-06,11282
2020-07-07,11727
2020-07-08,12118
2020-07-09,12516
2020-07-10,13090
2020-07-11,13448
2020-07-12,13750
2020-07-13,14311
2020-07-14,14756
2020-07-15,15176
2020-07-16,15679
2020-07-17,16199
2020-07-18,16786
2020-07-19,17074
2020-07-20,17495
2020-07-21,18132
2020-07-22,18781
2020-07-23,19404
2020-07-24,19968
2020-07-25,20511
2020-07-26,20734
2020-07-27,21349
2020-07-28,22016
2020-07-29,22528
2020-07-30,23118
2020-07-31,24922
2020-08-01,25422
2020-08-02,25755
2020-08-03,26333
2020-08-04,26962
2020-08-05,27347
2020-08-06,28119
2020-08-07,28609
2020-08-08,29089
2020-08-09,29297
2020-08-10,29800
2020-08-11,30312
2020-08-12,30744
2020-08-13,31280
2020-08-14,31772
2020-08-15,32098
2020-08-16,32358
2020-08-17,32644
2020-08-18,33104
2020-08-19,33561
2020-08-20,34050
2020-08-21,34519
2020-08-22,34805
2020-08-23,35072
2020-08-24,35745
2020-08-25,36173
2020-08-26,36490
2020-08-27,36917
2020-08-28,37303
2020-08-29,37596
2020-08-30,37800
2020-08-31,38152
2020-09-01,38464
2020-09-02,38799
2020-09-03,39145
2020-09-04,39628
2020-09-05,39954
2020-09-06,40253
2020-09-07,40678
2020-09-08,41090
2020-09-09,41470
2020-09-10,41917
2020-09-11,42295
2020-09-12,42684
2020-09-13,42995
2020-09-14,43556
2020-09-15,44028
2020-09-16,44444
2020-09-17,44838
2020-09-18,45318
2020-09-19,45711
2020-09-20,45983
2020-09-21,46494
2020-09-22,46956
2020-09-23,47353
2020-09-24,47728
2020-09-25,48045
2020-09-26,48400
2020-09-27,48706
2020-09-28,49273
2020-09-29,49728
2020-09-30,50195
2020-10-01,50617
2020-10-02,51149
2020-10-03,51576
2020-10-04,51932
2020-10-05,52473
2020-10-06,52922
2020-10-07,53301
2020-10-08,53818
2020-10-09,54250
2020-10-10,54622
2020-10-11,54893
2020-10-12,55173
2020-10-13,55537
2020-10-14,55860
2020-10-15,56287
2020-10-16,56795
2020-10-17,57187
2020-10-18,57479
2020-10-19,58152
2020-10-20,58835
2020-10-21,59316
2020-10-22,59865
2020-10-23,60550
2020-10-24,60989
2020-10-25,61385
2020-10-26,62193
2020-10-27,62717
2020-10-28,63173
2020-10-29,63784
2020-10-30,64322
2020-10-31,64733
2020-11-01,65066
2020-11-02,65456
2020-11-03,65996
2020-11-04,66489
2020-11-05,66908
2020-11-06,67433
2020-11-07,67823
2020-11-08,68190
2020-11-09,68741
2020-11-10,69138
2020-11-11,69600
2020-11-12,70039
2020-11-13,70473
2020-11-14,70790
2020-11-15,70984
2020-11-16,71151
2020-11-17,71652
2020-11-18,72095
2020-11-19,72510
2020-11-20,72873
2020-11-21,73115
2020-11-22,73227
2020-11-23,73377
2020-11-24,73386
