date,cases
2020-05-04,1
2020-06-09,2
2020-06-19,3
2020-06-25,4
2020-06-27,5
2020-07-02,7
2020-07-05,8
2020-07-06,9
2020-07-07,10
2020-07-08,11
2020-07-09,14
2020-07-10,15
2020-07-13,17
2020-07-16,19
2020-07-17,22
2020-07-18,23
2020-07-20,24
2020-07-21,29
2020-07-22,30
2020-07-23,33
2020-07-27,34
2020-07-28,38
2020-07-29,41
2020-07-31,42
2020-08-02,43
2020-08-03,44
2020-08-04,46
2020-08-06,47
2020-08-07,51
2020-08-08,54
2020-08-09,57
2020-08-10,59
2020-08-11,60
2020-08-13,63
2020-08-14,64
2020-08-18,65
2020-08-19,66
2020-08-20,70
2020-08-21,72
2020-08-22,74
2020-08-23,75
2020-08-24,77
2020-08-25,82
2020-08-26,83
2020-08-27,85
2020-08-28,87
2020-08-29,88
2020-08-30,90
2020-09-01,91
2020-09-02,93
2020-09-03,95
2020-09-04,97
2020-09-05,105
2020-09-06,110
2020-09-07,113
2020-09-08,125
2020-09-09,130
2020-09-10,137
2020-09-11,145
2020-09-12,147
2020-09-13,154
2020-09-14,166
2020-09-15,172
2020-09-16,176
2020-09-17,183
2020-09-18,186
2020-09-19,193
2020-09-20,194
2020-09-21,197
2020-09-22,201
2020-09-23,206
2020-09-24,212
2020-09-25,221
2020-09-26,226
2020-09-27,233
2020-09-28,239
2020-09-29,244
2020-09-30,255
2020-10-01,260
2020-10-02,265
2020-10-03,267
2020-10-04,270
2020-10-05,280
2020-10-06,286
2020-10-07,291
2020-10-08,301
2020-10-09,308
2020-10-10,315
2020-10-11,317
2020-10-12,323
2020-10-13,332
2020-10-14,338
2020-10-15,354
2020-10-16,358
2020-10-17,365
2020-10-18,370
2020-10-19,376
2020-10-20,386
2020-10-21,399
2020-10-22,416
2020-10-23,421
2020-10-24,426
2020-10-25,430
2020-10-26,443
2020-10-27,450
2020-10-28,469
2020-10-29,479
2020-10-30,497
2020-10-31,500
2020-11-01,504
2020-11-02,512
2020-11-03,521
2020-11-04,531
2020-11-05,541
2020-11-06,551
2020-11-07,565
2020-11-08,577
2020-11-09,601
2020-11-10,640
2020-11-11,659
2020-11-12,670
2020-11-13,692
2020-11-14,712
2020-11-15,722
2020-11-16,734
2020-11-17,746
2020-11-18,756
2020-11-19,776
2020-11-20,804
2020-11-21,818
2020-11-22,826
2020-11-23,837
2020-11-24,851
2020-11-25,865
2020-11-26,877
2020-11-27,893
2020-11-28,915
2020-11-29,924
2020-11-30,939
2020-12-01,957
2020-12-02,972
2020-12-03,997
2020-12-04,1008
2020-12-05,1026
2020-12-06,1031
2020-12-07,1053
2020-12-08,1058
2020-12-09,1080
2020-12-10,1102
2020-12-11,1133
2020-12-12,1150
2020-12-13,1152
2020-12-14,1169
2020-12-15,1178
