date,cases
2020-07-06,355
2020-07-15,86
2020-07-16,90
2020-07-19,130
2020-07-21,196
2020-07-22,206
2020-07-24,230
2020-07-27,259
2020-07-28,269
2020-07-29,280
2020-07-30,304
2020-07-31,314
2020-08-02,138
2020-08-03,287
2020-08-05,334
2020-08-06,369
2020-08-07,377
2020-08-08,391
2020-08-09,406
2020-08-10,25
2020-08-11,37
2020-08-12,53
2020-08-13,66
2020-08-14,74
2020-08-15,87
2020-08-16,94
2020-08-17,101
2020-08-18,124
2020-08-19,133
2020-08-20,163
2020-08-21,200
2020-08-22,207
2020-08-23,223
2020-08-24,232
2020-08-25,238
2020-08-26,253
2020-08-27,262
2020-08-28,271
2020-08-29,281
2020-08-30,310
2020-08-31,316
2020-09-01,9
2020-09-02,147
2020-09-03,290
2020-09-04,323
2020-09-05,338
2020-09-06,370
2020-09-07,381
2020-09-08,395
2020-09-09,410
2020-09-12,55
2020-09-13,68
2020-09-14,75
2020-09-16,96
2020-09-17,103
2020-09-19,134
2020-09-20,166
2020-09-21,203
2020-09-22,210
2020-09-23,224
2020-09-24,234
2020-09-25,242
2020-09-26,254
2020-09-28,276
2020-09-30,313
2020-10-01,2
2020-10-02,137
2020-10-03,283
2020-10-04,317
2020-10-05,331
2020-10-06,351
2020-10-07,375
2020-10-08,385
2020-10-09,403
2020-10-10,12
2020-10-11,27
2020-10-12,43
2020-10-13,60
2020-10-14,70
2020-10-15,84
2020-10-16,89
2020-10-17,99
2020-10-18,107
2020-10-19,129
2020-10-20,157
2020-10-21,168
2020-10-22,205
2020-10-23,219
2020-10-24,228
2020-10-25,236
2020-10-26,248
2020-10-27,257
2020-10-28,267
2020-11-01,3
