date,cases
2020-05-09,1
2020-05-28,2
2020-06-03,3
2020-06-05,4
2020-06-22,8
2020-06-23,9
2020-06-24,10
2020-06-25,11
2020-06-27,13
2020-06-28,15
2020-06-29,17
2020-06-30,31
2020-07-01,38
2020-07-02,46
2020-07-03,49
2020-07-04,64
2020-07-05,70
2020-07-06,76
2020-07-07,95
2020-07-08,111
2020-07-09,116
2020-07-10,127
2020-07-11,138
2020-07-12,153
2020-07-13,169
2020-07-14,184
2020-07-15,187
2020-07-16,192
2020-07-17,201
2020-07-18,214
2020-07-19,219
2020-07-20,235
2020-07-21,248
2020-07-22,267
2020-07-23,276
2020-07-24,284
2020-07-25,295
2020-07-26,300
2020-07-27,308
2020-07-28,310
2020-07-29,335
2020-07-30,345
2020-07-31,360
2020-08-01,370
2020-08-02,385
2020-08-03,397
2020-08-04,405
2020-08-05,413
2020-08-06,418
2020-08-07,421
2020-08-08,427
2020-08-09,429
2020-08-10,437
2020-08-11,448
2020-08-12,455
2020-08-13,464
2020-08-14,479
2020-08-15,486
2020-08-16,487
2020-08-17,489
2020-08-18,492
2020-08-19,505
2020-08-20,539
2020-08-21,540
2020-08-22,541
2020-08-24,546
2020-08-25,548
2020-08-26,549
2020-08-27,565
2020-08-28,573
2020-08-30,584
2020-08-31,598
2020-09-03,605
2020-09-04,609
2020-09-05,616
2020-09-07,618
2020-09-08,632
2020-09-09,639
2020-09-10,683
2020-09-11,684
2020-09-12,693
2020-09-13,694
2020-09-14,702
2020-09-15,705
2020-09-16,707
2020-09-18,711
2020-09-19,714
2020-09-20,715
2020-09-21,724
2020-09-22,729
2020-09-24,730
2020-09-25,732
2020-09-26,733
2020-10-02,735
2020-10-04,736
2020-10-05,739
2020-10-07,741
2020-10-08,742
2020-10-09,743
2020-10-12,744
2020-10-13,745
2020-10-14,746
2020-10-15,750
2020-10-16,752
2020-10-17,753
2020-10-18,754
2020-10-19,758
2020-10-20,759
2020-10-21,761
2020-10-22,762
2020-10-23,763
2020-10-25,766
2020-10-26,768
2020-11-03,769
