date,cases
2020-04-03,1
2020-04-15,2
2020-05-07,3
2020-05-22,4
2020-05-23,6
2020-05-25,7
2020-05-26,9
2020-05-31,11
2020-06-01,13
2020-06-03,14
2020-06-04,18
2020-06-05,20
2020-06-06,21
2020-06-09,22
2020-06-11,26
2020-06-13,29
2020-06-14,33
2020-06-15,34
2020-06-16,37
2020-06-18,38
2020-06-19,44
2020-06-20,48
2020-06-21,53
2020-06-22,58
2020-06-23,65
2020-06-24,71
2020-06-25,79
2020-06-26,86
2020-06-27,98
2020-06-28,105
2020-06-29,111
2020-06-30,132
2020-07-01,145
2020-07-02,154
2020-07-03,181
2020-07-04,190
2020-07-05,198
2020-07-06,201
2020-07-07,230
2020-07-08,238
2020-07-09,245
2020-07-10,274
2020-07-11,290
2020-07-12,303
2020-07-13,337
2020-07-14,425
2020-07-15,454
2020-07-16,479
2020-07-17,495
2020-07-18,523
2020-07-19,539
2020-07-20,557
2020-07-21,575
2020-07-22,596
2020-07-23,612
2020-07-24,634
2020-07-25,663
2020-07-26,668
2020-07-27,679
2020-07-28,720
2020-07-29,764
2020-07-30,784
2020-07-31,812
2020-08-01,880
2020-08-02,885
2020-08-03,899
2020-08-04,912
2020-08-05,954
2020-08-06,988
2020-08-07,997
2020-08-08,1014
2020-08-09,1017
2020-08-10,1044
2020-08-11,1056
2020-08-12,1101
2020-08-13,1121
2020-08-14,1157
2020-08-15,1165
2020-08-16,1178
2020-08-17,1180
2020-08-18,1201
2020-08-19,1219
2020-08-20,1248
2020-08-21,1259
2020-08-22,1294
2020-08-23,1302
2020-08-24,1335
2020-08-25,1365
2020-08-26,1396
2020-08-27,1423
2020-08-28,1441
2020-08-29,1454
2020-08-30,1498
2020-08-31,1519
2020-09-01,1531
2020-09-02,1538
2020-09-03,1549
2020-09-04,1570
2020-09-05,1572
2020-09-06,1581
2020-09-07,1592
2020-09-08,1595
2020-09-09,1605
2020-09-10,1624
2020-09-11,1636
2020-09-12,1638
2020-09-13,1639
2020-09-14,1644
2020-09-15,1651
2020-09-16,1662
2020-09-17,1671
2020-09-18,1679
2020-09-19,1685
2020-09-20,1688
2020-09-21,1700
2020-09-22,1703
2020-09-23,1710
2020-09-24,1715
2020-09-25,1719
2020-09-26,1721
2020-09-27,1725
2020-09-28,1732
2020-09-29,1740
2020-09-30,1743
2020-10-01,1747
2020-10-02,1754
2020-10-03,1762
2020-10-04,1768
2020-10-05,1770
2020-10-06,1773
2020-10-07,1778
2020-10-08,1786
2020-10-11,1787
2020-10-12,1792
2020-10-13,1794
2020-10-14,1796
2020-10-15,1798
2020-10-16,1808
2020-10-17,1809
2020-10-18,1810
2020-10-19,1819
2020-10-20,1826
2020-10-21,1830
2020-10-22,1835
2020-10-23,1845
2020-10-25,1880
2020-10-26,1886
2020-10-27,1889
2020-10-28,1896
2020-10-29,1900
2020-10-30,1903
2020-10-31,1905
2020-11-01,1906
2020-11-03,1909
2020-11-04,1915
2020-11-05,1918
2020-11-06,1920
2020-11-07,1921
2020-11-09,1927
2020-11-10,1933
2020-11-11,1935
2020-11-13,1937
2020-11-14,1938
2020-11-16,1939
2020-11-17,1942
2020-11-18,1945
2020-11-19,1946
2020-11-21,1947
