date,cases
2020-06-16,1
2020-06-21,3
2020-06-24,4
2020-06-30,5
2020-07-05,6
2020-07-11,7
2020-07-12,9
2020-07-23,10
2020-07-25,11
2020-07-29,13
2020-07-30,14
2020-08-05,15
2020-08-10,16
2020-08-15,18
2020-08-18,19
2020-08-20,20
2020-08-24,21
2020-08-26,24
2020-08-28,25
2020-08-29,27
2020-08-30,30
2020-09-04,41
2020-09-07,42
2020-09-08,46
2020-09-09,47
2020-09-12,49
2020-09-17,51
2020-09-18,54
2020-09-19,55
2020-09-20,56
2020-09-21,57
2020-09-23,58
2020-09-24,61
2020-09-25,64
2020-09-26,66
2020-09-27,70
2020-09-28,75
2020-09-29,77
2020-09-30,81
2020-10-01,84
2020-10-02,88
2020-10-03,89
2020-10-04,93
2020-10-05,97
2020-10-06,109
2020-10-07,121
2020-10-08,130
2020-10-09,135
2020-10-10,139
2020-10-11,140
2020-10-12,143
2020-10-13,147
2020-10-14,150
2020-10-15,154
2020-10-16,158
2020-10-17,188
2020-10-18,207
2020-10-19,243
2020-10-20,273
2020-10-21,279
2020-10-22,287
2020-10-23,297
2020-10-24,310
2020-10-25,314
2020-10-26,321
2020-10-27,323
2020-10-28,329
2020-10-29,333
2020-10-30,334
2020-10-31,339
2020-11-01,340
2020-11-02,342
2020-11-03,359
2020-11-04,361
2020-11-05,371
2020-11-06,375
2020-11-07,390
2020-11-08,392
2020-11-09,405
2020-11-10,417
2020-11-11,426
2020-11-12,430
2020-11-13,435
2020-11-14,442
2020-11-15,446
2020-11-16,453
2020-11-17,467
2020-11-18,473
2020-11-19,485
2020-11-20,490
2020-11-21,494
2020-11-22,509
2020-11-23,519
2020-11-24,525
2020-11-25,537
2020-11-26,551
2020-11-27,553
2020-11-28,555
2020-12-02,556
2020-12-03,563
2020-12-04,570
2020-12-05,575
2020-12-06,580
2020-12-07,589
2020-12-08,602
2020-12-09,609
2020-12-10,626
2020-12-11,641
2020-12-12,654
2020-12-13,673
2020-12-14,693
2020-12-15,720
2020-12-16,766
2020-12-17,780
2020-12-18,808
2020-12-19,852
2020-12-20,858
2020-12-21,872
2020-12-22,888
2020-12-23,904
2020-12-24,919
2020-12-25,921
2020-12-26,929
2020-12-27,932
2020-12-28,958
2020-12-29,961
2020-12-30,964
2020-12-31,965
