date,cases
2020-03-19,1
2020-03-20,2
2020-03-21,3
2020-03-24,4
2020-03-26,5
2020-03-28,6
2020-03-29,8
2020-03-30,12
2020-04-04,13
2020-04-05,18
2020-04-08,19
2020-04-09,22
2020-04-10,23
2020-04-11,24
2020-04-12,25
2020-04-13,26
2020-04-25,27
2020-04-27,28
2020-05-07,29
2020-05-08,30
2020-05-13,31
2020-05-15,32
2020-05-16,35
2020-05-17,37
2020-05-19,38
2020-05-21,39
2020-05-22,40
2020-05-23,43
2020-05-24,46
2020-05-25,51
2020-05-26,53
2020-05-27,55
2020-05-29,62
2020-05-30,64
2020-05-31,67
2020-06-01,68
2020-06-02,72
2020-06-03,74
2020-06-04,75
2020-06-05,80
2020-06-08,82
2020-06-10,83
2020-06-11,89
2020-06-12,91
2020-06-13,92
2020-06-15,94
2020-06-16,98
2020-06-17,101
2020-06-18,104
2020-06-19,106
2020-06-21,109
2020-06-22,111
2020-06-23,118
2020-06-24,120
2020-06-25,131
2020-06-26,138
2020-06-27,149
2020-06-28,153
2020-06-29,155
2020-06-30,169
2020-07-01,184
2020-07-02,204
2020-07-03,219
2020-07-04,225
2020-07-05,235
2020-07-06,241
2020-07-07,265
2020-07-08,284
2020-07-09,302
2020-07-10,329
2020-07-11,341
2020-07-12,347
2020-07-13,356
2020-07-14,373
2020-07-15,383
2020-07-16,397
2020-07-17,416
2020-07-18,433
2020-07-19,441
2020-07-20,451
2020-07-21,473
2020-07-22,496
2020-07-23,512
2020-07-24,537
2020-07-25,557
2020-07-26,571
2020-07-27,612
2020-07-28,652
2020-07-29,689
2020-07-30,717
2020-07-31,740
2020-08-01,768
2020-08-02,781
2020-08-03,815
2020-08-04,849
2020-08-05,875
2020-08-06,902
2020-08-07,941
2020-08-08,965
2020-08-09,985
2020-08-10,1031
2020-08-11,1064
2020-08-12,1108
2020-08-13,1143
2020-08-14,1165
2020-08-15,1194
2020-08-16,1215
2020-08-17,1243
2020-08-18,1272
2020-08-19,1317
2020-08-20,1344
2020-08-21,1394
2020-08-22,1424
2020-08-23,1440
2020-08-24,1483
2020-08-25,1506
2020-08-26,1534
2020-08-27,1571
2020-08-28,1590
2020-08-29,1620
2020-08-30,1632
2020-08-31,1662
2020-09-01,1695
2020-09-02,1720
2020-09-03,1745
2020-09-04,1778
2020-09-05,1797
2020-09-06,1809
2020-09-07,1866
2020-09-08,1891
2020-09-09,1927
2020-09-10,1958
2020-09-11,1998
2020-09-12,2024
2020-09-13,2049
2020-09-14,2081
2020-09-15,2109
2020-09-16,2135
2020-09-17,2146
2020-09-18,2173
2020-09-19,2191
2020-09-20,2206
2020-09-21,2233
2020-09-22,2273
2020-09-23,2305
2020-09-24,2331
2020-09-25,2347
2020-09-26,2369
2020-09-27,2385
2020-09-28,2404
2020-09-29,2420
2020-09-30,2441
2020-10-01,2480
2020-10-02,2517
2020-10-03,2529
2020-10-04,2540
2020-10-05,2572
2020-10-06,2605
2020-10-07,2632
2020-10-08,2651
2020-10-09,2675
2020-10-10,2693
2020-10-11,2703
2020-10-12,2711
2020-10-13,2735
2020-10-14,2748
2020-10-15,2774
2020-10-16,2799
2020-10-17,2827
2020-10-18,2838
2020-10-19,2873
2020-10-20,2936
2020-10-21,2982
2020-10-22,3011
2020-10-23,3042
2020-10-24,3062
2020-10-25,3090
2020-10-26,3126
2020-10-27,3171
2020-10-28,3195
2020-10-29,3216
2020-10-30,3241
2020-10-31,3257
2020-11-01,3282
2020-11-02,3305
2020-11-03,3333
2020-11-04,3378
2020-11-05,3403
2020-11-06,3437
2020-11-07,3451
2020-11-08,3472
2020-11-09,3536
2020-11-10,3562
2020-11-11,3582
2020-11-12,3610
2020-11-13,3632
2020-11-14,3645
2020-11-15,3662
2020-11-16,3696
2020-11-17,3719
2020-11-18,3742
2020-11-19,3768
2020-11-20,3809
2020-11-21,3826
2020-11-22,3830
2020-11-23,3853
2020-11-24,3869
2020-11-25,3891
2020-11-26,3907
2020-11-27,3934
2020-11-28,3948
2020-11-29,3954
2020-11-30,3966
2020-12-01,3971
