date,cases
2020-06-02,2
2020-06-03,5
2020-06-08,7
2020-06-11,10
2020-06-12,18
2020-06-13,19
2020-06-16,20
2020-06-17,23
2020-06-18,26
2020-06-19,28
2020-06-23,29
2020-06-24,31
2020-06-25,33
2020-06-26,35
2020-06-27,36
2020-06-29,37
2020-06-30,46
2020-07-01,51
2020-07-02,54
2020-07-03,60
2020-07-04,64
2020-07-05,69
2020-07-06,74
2020-07-07,80
2020-07-08,90
2020-07-09,102
2020-07-10,111
2020-07-11,118
2020-07-12,119
2020-07-13,145
2020-07-14,162
2020-07-15,189
2020-07-16,210
2020-07-17,217
2020-07-18,219
2020-07-19,223
2020-07-20,230
2020-07-21,239
2020-07-22,249
2020-07-23,260
2020-07-24,265
2020-07-25,268
2020-07-26,273
2020-07-27,287
2020-07-28,299
2020-07-29,304
2020-07-30,311
2020-07-31,321
2020-08-01,327
2020-08-02,329
2020-08-03,349
2020-08-04,368
2020-08-05,376
2020-08-06,384
2020-08-07,389
2020-08-08,399
2020-08-09,402
2020-08-10,423
2020-08-11,436
2020-08-12,457
2020-08-13,472
2020-08-14,486
2020-08-15,495
2020-08-16,501
2020-08-17,504
2020-08-18,524
2020-08-19,537
2020-08-20,544
2020-08-21,548
2020-08-22,551
2020-08-23,552
2020-08-24,566
2020-08-25,580
2020-08-26,584
2020-08-27,589
2020-08-28,593
2020-08-29,601
2020-08-30,604
2020-08-31,619
2020-09-01,621
2020-09-02,631
2020-09-03,642
2020-09-04,651
2020-09-05,661
2020-09-06,665
2020-09-07,670
2020-09-08,680
2020-09-09,686
2020-09-10,692
2020-09-11,695
2020-09-12,701
2020-09-13,705
2020-09-14,725
2020-09-15,735
2020-09-16,742
2020-09-17,746
2020-09-18,747
2020-09-20,748
2020-09-21,755
2020-09-23,758
2020-09-26,762
2020-09-27,766
2020-09-28,773
2020-09-29,775
2020-09-30,779
2020-10-01,783
2020-10-02,784
2020-10-03,787
2020-10-04,788
2020-10-05,793
2020-10-06,798
2020-10-07,799
2020-10-08,800
2020-10-09,803
2020-10-10,804
2020-10-11,805
2020-10-13,806
2020-10-14,807
2020-10-15,808
2020-10-16,809
2020-10-17,812
2020-10-19,815
2020-10-20,818
2020-10-22,819
2020-10-24,820
2020-10-26,822
2020-10-29,823
2020-10-30,824
2020-10-31,825
2020-11-02,827
2020-11-03,828
2020-11-04,829
2020-11-05,830
2020-11-06,831
2020-11-07,832
2020-11-08,833
2020-11-09,834
2020-11-12,837
2020-11-13,839
2020-11-14,840
2020-11-18,841
2020-11-19,843
2020-11-20,844
2020-11-21,845
2020-11-23,846
2020-11-24,848
2020-11-26,851
2020-11-27,854
2020-11-30,857
2020-12-01,860
2020-12-04,861
2020-12-07,862
