date,cases
2020-06-11,2
2020-06-16,3
2020-06-18,5
2020-06-19,6
2020-06-22,7
2020-06-23,8
2020-06-24,11
2020-06-25,12
2020-06-26,14
2020-06-29,25
2020-07-07,31
2020-07-09,32
2020-07-10,33
2020-07-11,34
2020-07-14,38
2020-07-16,39
2020-07-18,41
2020-07-20,42
2020-07-21,43
2020-07-22,44
2020-07-23,45
2020-07-24,49
2020-07-26,50
2020-07-28,51
2020-08-01,52
2020-08-04,54
2020-08-07,55
2020-08-08,56
2020-08-11,58
2020-08-13,59
2020-08-14,60
2020-08-15,61
2020-08-16,62
2020-08-18,64
2020-08-19,66
2020-08-20,68
2020-08-24,69
2020-08-28,70
2020-08-31,71
2020-09-03,75
2020-09-09,77
2020-09-11,81
2020-09-12,87
2020-09-15,88
2020-09-17,89
2020-09-18,91
2020-09-22,93
2020-09-24,97
2020-09-26,99
2020-09-27,103
2020-09-28,105
2020-09-29,106
2020-10-02,107
2020-10-03,108
2020-10-04,109
2020-10-07,111
2020-10-09,113
2020-10-10,116
2020-10-11,117
2020-10-18,121
2020-10-20,122
