date,cases
2020-05-11,1
2020-05-24,3
2020-05-31,4
2020-06-16,6
2020-06-17,7
2020-06-20,8
2020-07-10,11
2020-07-16,13
2020-07-17,14
2020-07-18,15
2020-07-22,17
2020-07-28,18
2020-07-29,20
2020-07-31,21
2020-08-01,22
2020-08-17,23
2020-08-21,25
2020-08-22,30
2020-08-23,31
2020-08-24,32
2020-08-25,34
2020-08-26,36
2020-08-27,37
2020-08-28,38
2020-08-30,40
2020-08-31,41
2020-09-02,42
2020-09-03,43
2020-09-04,46
2020-09-05,47
2020-09-07,55
2020-09-09,58
2020-09-10,59
2020-09-12,61
2020-09-13,64
2020-09-14,65
2020-09-15,67
2020-09-18,71
2020-09-19,72
2020-09-21,75
2020-09-23,76
2020-09-25,77
2020-09-27,79
2020-09-28,82
2020-10-02,84
2020-10-05,89
2020-10-06,91
2020-10-08,92
2020-10-09,93
2020-10-12,94
2020-10-13,95
2020-10-14,96
2020-10-15,98
2020-10-16,101
2020-10-17,102
2020-10-19,104
2020-10-20,107
2020-10-22,109
2020-10-23,110
2020-10-25,112
2020-10-26,113
2020-10-27,114
2020-10-29,115
2020-11-03,116
2020-11-04,117
2020-11-06,118
2020-11-10,120
2020-11-12,122
2020-11-16,123
2020-11-18,127
2020-11-21,128
2020-11-22,129
2020-11-23,131
2020-11-24,132
2020-11-27,133
2020-11-29,134
2020-11-30,135
2020-12-02,136
2020-12-03,137
2020-12-04,138
2020-12-06,143
2020-12-07,144
2020-12-09,145
2020-12-10,147
2020-12-14,148
2020-12-17,149
2020-12-21,150
2020-12-22,155
2020-12-24,157
2020-12-28,158
