date,cases
2020-03-25,753
2020-03-30,1041
2020-04-01,3
2020-04-03,994
2020-04-07,1252
2020-04-08,1310
2020-04-10,58
2020-04-11,95
2020-04-13,176
2020-04-14,232
2020-04-16,311
2020-04-19,443
2020-04-20,544
2020-04-24,706
2020-04-25,764
2020-04-26,804
2020-04-27,855
2020-04-28,912
2020-04-30,1045
2020-05-01,4
2020-05-02,512
2020-05-03,997
2020-05-04,1130
2020-05-05,1168
2020-05-07,1254
2020-05-09,1356
2020-05-11,96
2020-05-13,177
2020-05-14,236
2020-05-15,265
2020-05-16,313
2020-05-17,356
2020-05-18,400
2020-05-19,446
2020-05-20,548
2020-05-21,575
2020-05-22,626
2020-05-23,650
2020-05-25,768
2020-05-26,814
2020-05-27,866
2020-05-28,915
2020-05-29,951
2020-05-30,1047
2020-05-31,1114
2020-06-01,9
2020-06-02,520
2020-06-03,1000
2020-06-04,1138
2020-06-05,1174
2020-06-06,1198
2020-06-07,1260
2020-06-08,1317
2020-06-09,1372
2020-06-10,73
2020-06-11,103
2020-06-12,134
2020-06-13,187
2020-06-14,240
2020-06-15,279
2020-06-16,334
2020-06-17,379
2020-06-18,424
2020-06-19,487
2020-06-20,557
2020-06-21,590
2020-06-22,633
2020-06-23,683
2020-06-24,732
2020-06-25,787
2020-06-26,840
2020-06-27,893
2020-06-28,933
2020-06-29,975
2020-06-30,1088
2020-07-01,28
2020-07-02,537
2020-07-03,1029
2020-07-04,1155
2020-07-05,1190
2020-07-06,1233
2020-07-07,1298
2020-07-08,1343
2020-07-09,1412
2020-07-10,88
2020-07-11,111
2020-07-12,163
2020-07-13,220
2020-07-14,258
2020-07-15,298
2020-07-16,353
2020-07-17,395
2020-07-18,433
2020-07-19,496
2020-07-20,562
2020-07-21,608
2020-07-22,640
2020-07-23,697
2020-07-24,747
2020-07-25,793
2020-07-26,844
2020-07-27,905
2020-07-28,945
2020-07-29,988
2020-07-30,1110
2020-07-31,1124
2020-08-01,48
2020-08-03,1040
2020-08-04,1158
2020-08-05,1194
2020-08-06,1246
2020-08-07,1306
2020-08-08,1348
2020-08-10,91
2020-08-11,113
2020-08-12,169
2020-08-13,224
2020-08-14,261
2020-08-15,303
2020-08-16,354
2020-08-17,396
2020-08-18,439
2020-08-19,507
2020-08-20,571
2020-08-21,614
2020-08-22,642
2020-08-23,699
2020-08-24,748
2020-08-25,798
2020-08-26,850
2020-08-27,909
2020-08-28,946
2020-08-31,1126
2020-09-01,54
2020-09-02,540
2020-09-04,1161
2020-09-07,1307
2020-09-08,1350
2020-09-09,1415
2020-09-10,94
2020-09-11,116
2020-09-12,172
2020-09-14,264
2020-09-15,307
2020-09-18,441
2020-09-19,509
2020-09-20,572
2020-09-21,615
2020-09-22,643
2020-09-23,700
2020-09-24,752
2020-09-25,799
2020-09-26,851
2020-09-27,910
2020-09-28,949
2020-09-29,991
2020-09-30,1111
2020-10-01,1
2020-10-02,511
2020-10-03,993
2020-10-04,1127
2020-10-05,1163
2020-10-07,1250
2020-10-08,1309
2020-10-09,1352
2020-10-10,57
2020-10-13,175
2020-10-18,397
2020-10-19,442
2020-10-20,542
2020-10-22,621
2020-10-23,645
2020-10-24,701
2020-10-26,802
2020-10-27,852
2020-10-28,911
