date,cases
2020-05-08,1
2020-07-05,2
2020-07-13,3
2020-08-04,4
2020-08-14,5
2020-08-18,7
2020-08-19,8
2020-08-20,9
2020-08-22,10
2020-08-24,11
2020-08-29,12
2020-09-07,13
2020-09-10,15
2020-09-11,17
2020-09-14,18
2020-09-15,20
2020-09-16,21
2020-09-28,22
2020-09-29,23
2020-10-03,25
2020-10-05,26
2020-10-06,27
2020-10-12,28
2020-10-16,30
2020-10-17,36
2020-10-19,37
2020-10-21,39
2020-10-22,40
2020-10-23,45
2020-10-26,48
2020-10-28,49
2020-10-29,50
2020-10-30,52
2020-10-31,53
2020-11-01,54
2020-11-02,57
2020-11-05,58
2020-11-15,62
2020-11-16,66
2020-11-17,69
2020-11-18,70
2020-11-19,71
2020-11-20,72
2020-11-21,74
2020-11-23,75
2020-11-25,76
2020-11-26,77
2020-11-29,78
2020-11-30,79
2020-12-01,85
2020-12-02,92
2020-12-03,95
2020-12-05,97
2020-12-06,98
2020-12-07,101
2020-12-09,105
2020-12-14,106
2020-12-16,111
2020-12-17,113
2020-12-18,115
2020-12-19,116
2020-12-21,117
2020-12-26,118
