date,cases
2020-06-30,1
2020-07-06,2
2020-07-11,7
2020-07-13,13
2020-07-14,14
2020-07-16,15
2020-07-18,16
2020-07-20,17
2020-07-23,21
2020-07-27,24
2020-07-30,25
2020-08-09,26
2020-08-12,27
2020-08-17,28
2020-08-26,29
2020-09-10,40
2020-09-11,41
2020-09-27,44
2020-09-28,45
2020-09-30,49
2020-10-02,55
2020-10-03,56
2020-10-07,57
2020-10-08,58
2020-10-10,59
2020-10-13,63
2020-10-16,64
2020-10-17,65
2020-10-18,68
2020-10-22,70
2020-10-23,71
2020-10-26,72
2020-10-27,73
2020-10-28,74
2020-10-29,75
2020-11-09,76
2020-11-12,78
2020-11-13,79
2020-11-15,82
2020-11-19,83
2020-11-20,84
2020-11-28,88
2020-11-30,90
2020-12-01,91
2020-12-03,92
