date,cases
2020-04-04,1
2020-04-08,2
2020-04-09,3
2020-04-17,6
2020-04-19,7
2020-04-28,8
2020-05-01,10
2020-05-03,11
2020-05-04,12
2020-05-06,13
2020-05-25,14
2020-05-27,16
2020-05-28,18
2020-05-29,19
2020-05-30,20
2020-05-31,27
2020-06-01,28
2020-06-02,30
2020-06-03,31
2020-06-05,34
2020-06-10,37
2020-06-16,38
2020-06-18,40
2020-06-20,42
2020-06-22,43
2020-06-23,45
2020-06-24,49
2020-06-25,54
2020-06-26,55
2020-06-27,58
2020-06-28,60
2020-06-29,64
2020-06-30,68
2020-07-01,73
2020-07-02,75
2020-07-03,80
2020-07-04,88
2020-07-05,90
2020-07-06,98
2020-07-07,104
2020-07-08,117
2020-07-09,127
2020-07-10,137
2020-07-11,151
2020-07-12,156
2020-07-13,173
2020-07-14,188
2020-07-15,200
2020-07-16,230
2020-07-17,254
2020-07-18,279
2020-07-19,297
2020-07-20,314
2020-07-21,340
2020-07-22,365
2020-07-23,387
2020-07-24,412
2020-07-25,437
2020-07-26,454
2020-07-27,494
2020-07-28,528
2020-07-29,545
2020-07-30,564
2020-07-31,580
2020-08-01,596
2020-08-02,610
2020-08-03,631
2020-08-04,660
2020-08-05,688
2020-08-06,706
2020-08-07,717
2020-08-08,737
2020-08-09,755
2020-08-10,792
2020-08-11,809
2020-08-12,831
2020-08-13,849
2020-08-14,867
2020-08-15,881
2020-08-16,895
2020-08-17,907
2020-08-18,938
2020-08-19,964
2020-08-20,997
2020-08-21,1021
2020-08-22,1040
2020-08-23,1049
2020-08-24,1075
2020-08-25,1103
2020-08-26,1133
2020-08-27,1147
2020-08-28,1171
2020-08-29,1194
2020-08-30,1208
2020-08-31,1226
2020-09-01,1250
2020-09-02,1264
2020-09-03,1278
2020-09-04,1285
2020-09-05,1295
2020-09-06,1318
2020-09-07,1352
2020-09-08,1376
2020-09-09,1394
2020-09-10,1424
2020-09-11,1454
2020-09-12,1469
2020-09-13,1493
2020-09-14,1524
2020-09-15,1546
2020-09-16,1563
2020-09-17,1575
2020-09-18,1582
2020-09-19,1594
2020-09-20,1604
2020-09-21,1625
2020-09-22,1648
2020-09-23,1666
2020-09-24,1693
2020-09-25,1720
2020-09-26,1738
2020-09-27,1769
2020-09-28,1820
2020-09-29,1836
2020-09-30,1874
2020-10-01,1899
2020-10-02,1923
2020-10-03,1943
2020-10-04,1964
2020-10-05,1994
2020-10-06,2011
2020-10-07,2032
2020-10-08,2054
2020-10-09,2078
2020-10-10,2095
2020-10-11,2107
2020-10-12,2117
2020-10-13,2140
2020-10-14,2167
2020-10-15,2184
2020-10-16,2195
2020-10-17,2212
2020-10-18,2228
2020-10-19,2250
2020-10-20,2268
2020-10-21,2293
2020-10-22,2327
2020-10-23,2366
2020-10-24,2372
2020-10-25,2383
2020-10-26,2397
2020-10-27,2410
2020-10-28,2427
2020-10-29,2441
2020-10-30,2451
2020-10-31,2459
2020-11-01,2466
2020-11-02,2468
2020-11-03,2470
