date,cases
2020-05-06,1
2020-05-20,2
2020-05-30,3
2020-06-05,5
2020-06-10,6
2020-06-29,7
2020-07-05,8
2020-07-07,9
2020-07-08,10
2020-07-09,11
2020-07-11,12
2020-07-12,32
2020-07-13,49
2020-07-14,60
2020-07-15,62
2020-07-16,73
2020-07-17,86
2020-07-18,87
2020-07-19,90
2020-07-23,92
2020-07-25,103
2020-07-27,105
2020-07-28,107
2020-07-29,117
2020-07-30,124
2020-07-31,126
2020-08-03,143
2020-08-04,149
2020-08-05,157
2020-08-06,161
2020-08-08,162
2020-08-09,178
2020-08-10,184
2020-08-12,195
2020-08-17,210
2020-08-18,212
2020-08-20,215
2020-08-22,217
2020-08-23,223
2020-08-25,227
2020-08-26,247
2020-08-29,248
2020-08-30,250
2020-08-31,252
2020-09-01,276
2020-09-02,279
2020-09-03,281
2020-09-05,282
2020-09-07,286
2020-09-08,287
2020-09-10,288
2020-09-11,289
2020-09-12,290
2020-09-13,294
2020-09-14,296
2020-09-15,303
2020-09-18,304
2020-09-20,309
2020-09-22,310
2020-09-23,313
2020-09-25,314
2020-09-27,316
2020-09-28,318
2020-09-29,323
2020-09-30,339
2020-10-03,343
2020-10-04,346
2020-10-05,348
2020-10-06,349
2020-10-07,355
2020-10-08,366
2020-10-09,371
2020-10-13,379
2020-10-14,380
2020-10-15,383
2020-10-17,384
2020-10-20,391
2020-10-22,395
2020-10-23,397
2020-10-24,398
2020-10-25,399
2020-10-26,404
2020-10-27,406
2020-10-28,407
2020-10-29,410
2020-10-30,411
2020-11-01,412
2020-11-03,417
2020-11-04,421
2020-11-06,422
2020-11-09,426
2020-11-11,429
2020-11-12,433
2020-11-14,434
2020-11-18,435
2020-11-25,436
