date,cases
2020-03-23,313
2020-03-24,338
2020-03-25,367
2020-03-27,408
2020-04-04,517
2020-04-26,384
2020-04-30,496
2020-05-19,178
2020-05-23,314
2020-05-27,409
2020-05-28,435
2020-06-01,4
2020-06-03,475
2020-06-07,572
2020-06-10,13
2020-06-11,34
2020-06-12,57
2020-06-13,79
2020-06-16,130
2020-06-17,149
2020-06-18,155
2020-06-19,181
2020-06-20,216
2020-06-23,317
2020-06-24,339
2020-06-25,369
2020-06-26,385
2020-06-27,414
2020-06-28,438
2020-06-30,499
2020-07-01,7
2020-07-02,197
2020-07-03,480
2020-07-04,518
2020-07-06,558
2020-07-07,573
2020-07-08,597
2020-07-09,614
2020-07-10,23
2020-07-11,40
2020-07-12,58
2020-07-13,87
2020-07-14,103
2020-07-15,120
2020-07-16,133
2020-07-18,158
2020-07-19,182
2020-07-20,220
2020-07-21,252
2020-07-22,287
2020-07-23,322
2020-07-24,350
2020-07-25,371
2020-07-26,391
2020-07-27,426
2020-07-28,446
2020-07-29,460
2020-07-30,503
2020-07-31,511
2020-08-01,9
2020-08-02,201
2020-08-03,486
2020-08-04,533
2020-08-05,549
2020-08-06,564
2020-08-07,582
2020-08-08,605
2020-08-09,616
2020-08-10,27
2020-08-11,45
2020-08-12,66
2020-08-13,93
2020-08-14,109
2020-08-15,122
2020-08-16,136
2020-08-17,150
2020-08-18,163
2020-08-19,187
2020-08-20,229
2020-08-21,260
2020-08-22,297
2020-08-23,329
2020-08-24,358
2020-08-25,377
2020-08-26,400
2020-08-27,428
2020-08-28,448
2020-08-29,468
2020-08-30,505
2020-08-31,513
2020-09-01,11
2020-09-02,205
2020-09-03,489
2020-09-04,539
2020-09-05,551
2020-09-06,567
2020-09-07,585
2020-09-08,611
2020-09-09,622
2020-09-10,33
2020-09-11,49
2020-09-12,68
2020-09-13,95
2020-09-14,111
2020-09-15,123
2020-09-16,139
2020-09-18,170
2020-09-19,189
2020-09-20,231
2020-09-21,264
2020-09-22,307
2020-09-23,331
2020-09-24,363
2020-09-25,380
2020-09-26,402
2020-09-27,430
2020-09-28,453
2020-09-29,471
2020-09-30,506
2020-10-01,2
2020-10-02,194
2020-10-03,472
2020-10-04,516
2020-10-05,542
2020-10-06,557
2020-10-07,571
2020-10-08,590
2020-10-09,613
2020-10-12,50
2020-10-13,74
2020-10-14,97
2020-10-15,114
2020-10-16,129
2020-10-17,147
2020-10-18,153
2020-10-19,177
2020-10-20,213
2020-10-21,248
2020-10-22,273
2020-10-23,311
2020-10-24,336
2020-10-25,364
2020-10-26,383
2020-10-27,407
2020-10-28,433
2020-10-29,457
2020-10-30,495
2020-10-31,507
