date,cases
2020-06-02,53
2020-06-07,144
2020-06-11,18
2020-06-20,55
2020-06-24,85
2020-06-26,111
2020-06-27,117
2020-07-07,145
2020-07-08,146
2020-07-09,156
2020-07-13,26
2020-07-14,28
2020-07-16,41
2020-07-18,48
2020-07-22,73
2020-07-24,100
2020-07-25,107
2020-07-26,112
2020-07-27,122
2020-07-28,123
2020-07-29,124
2020-07-31,131
2020-08-01,13
2020-08-02,54
2020-08-04,134
2020-08-05,138
2020-08-06,142
2020-08-08,154
2020-08-09,163
2020-08-11,19
2020-08-12,24
2020-08-14,32
2020-08-15,35
2020-08-16,42
2020-08-17,45
2020-08-19,52
2020-08-20,58
2020-08-21,59
2020-08-22,82
2020-08-23,83
2020-08-24,101
2020-08-25,110
2020-08-26,115
2020-08-29,125
2020-08-30,128
2020-08-31,132
2020-09-01,15
2020-09-05,139
2020-09-06,143
2020-09-09,165
2020-09-15,37
2020-09-17,46
2020-09-18,50
2020-09-23,84
2020-09-26,116
2020-09-29,126
2020-09-30,129
2020-10-13,25
2020-10-22,66
