date,cases
2020-07-19,30
2020-07-24,44
2020-07-26,63
2020-07-27,66
2020-07-28,73
2020-07-29,81
2020-07-30,91
2020-08-02,33
2020-08-03,84
2020-08-04,92
2020-08-06,98
2020-08-07,99
2020-08-08,100
2020-08-10,3
2020-08-11,5
2020-08-12,9
2020-08-16,27
2020-08-19,32
2020-08-20,36
2020-08-22,41
2020-08-25,60
2020-08-27,68
2020-08-28,79
2020-08-29,82
2020-09-01,1
2020-09-03,89
2020-09-04,95
2020-09-10,4
2020-09-12,10
2020-09-14,26
2020-09-18,28
2020-09-21,40
2020-10-06,96
2020-10-10,2
2020-10-19,29
2020-10-20,34
2020-10-21,37
2020-10-26,61
