date,cases
2020-03-31,1
2020-06-08,2
2020-07-03,3
2020-07-06,6
2020-07-20,7
2020-07-22,8
2020-07-27,9
2020-08-14,11
2020-08-24,12
2020-09-09,13
2020-09-10,14
2020-09-20,15
2020-09-25,16
2020-09-28,17
2020-10-05,19
2020-10-22,21
2020-10-23,22
2020-10-25,23
2020-10-28,24
2020-10-30,25
2020-10-31,28
2020-11-01,31
2020-11-03,32
2020-11-05,33
2020-11-08,34
2020-11-09,35
2020-11-10,36
2020-11-12,37
2020-11-23,38
2020-11-26,39
2020-11-29,40
2020-12-02,41
2020-12-03,42
2020-12-11,43
2020-12-13,44
2020-12-14,45
2020-12-20,46
2020-12-21,48
