date,cases
2020-03-17,1
2020-08-11,2
2020-08-24,3
2020-08-26,4
2020-09-02,6
2020-09-08,7
2020-09-09,8
2020-09-10,9
2020-09-11,11
2020-09-12,13
2020-09-15,14
2020-09-22,16
2020-09-23,17
2020-09-24,22
2020-09-28,23
2020-09-29,24
2020-09-30,28
2020-10-01,29
2020-10-02,32
2020-10-05,35
2020-10-06,39
2020-10-07,41
2020-10-08,44
2020-10-09,48
2020-10-10,52
2020-10-13,53
2020-10-14,58
2020-10-15,63
2020-10-16,65
2020-10-17,69
2020-10-18,71
2020-10-19,73
2020-10-20,78
2020-10-21,85
2020-10-22,89
2020-10-23,94
2020-10-24,98
2020-10-26,100
2020-10-27,108
2020-10-28,111
2020-10-29,112
2020-10-30,114
2020-10-31,116
