date,cases
2020-04-27,2
2020-05-01,3
2020-05-02,6
2020-05-05,7
2020-05-06,9
2020-05-12,12
2020-05-14,16
2020-05-15,21
2020-05-17,22
2020-05-21,23
2020-05-22,24
2020-05-25,25
2020-05-28,26
2020-06-01,27
2020-06-04,28
2020-06-07,29
2020-06-08,30
2020-06-09,31
2020-06-10,32
2020-06-15,34
2020-06-16,35
2020-06-17,37
2020-06-19,39
2020-06-22,45
2020-06-23,46
2020-06-24,47
2020-06-25,50
2020-06-27,59
2020-06-28,62
2020-06-30,64
2020-07-01,67
2020-07-02,69
2020-07-03,73
2020-07-04,78
2020-07-05,79
2020-07-06,81
2020-07-07,86
2020-07-08,93
2020-07-09,94
2020-07-10,96
2020-07-11,100
2020-07-12,105
2020-07-13,122
2020-07-14,136
2020-07-15,149
2020-07-16,153
2020-07-17,155
2020-07-18,165
2020-07-20,166
2020-07-21,175
2020-07-22,182
2020-07-23,199
2020-07-24,210
2020-07-25,220
2020-07-26,227
2020-07-27,237
2020-07-28,243
2020-07-29,252
2020-07-30,257
2020-07-31,268
2020-08-01,277
2020-08-02,282
2020-08-03,295
2020-08-04,305
2020-08-05,330
2020-08-06,342
2020-08-07,347
2020-08-08,359
2020-08-09,365
2020-08-10,378
2020-08-11,390
2020-08-12,409
2020-08-13,425
2020-08-14,440
2020-08-15,463
2020-08-16,482
2020-08-17,492
2020-08-18,515
2020-08-19,527
2020-08-20,550
2020-08-21,558
2020-08-22,567
2020-08-23,581
2020-08-24,603
2020-08-25,622
2020-08-26,639
2020-08-27,647
2020-08-28,661
2020-08-29,676
2020-08-30,684
2020-08-31,699
2020-09-01,714
2020-09-02,728
2020-09-03,738
2020-09-04,763
2020-09-05,772
2020-09-06,787
2020-09-07,807
2020-09-08,825
2020-09-09,852
2020-09-10,859
2020-09-11,880
2020-09-12,901
2020-09-13,922
2020-09-14,949
2020-09-15,976
2020-09-16,1002
2020-09-17,1031
2020-09-18,1051
2020-09-19,1061
2020-09-20,1072
2020-09-21,1091
2020-09-22,1125
2020-09-23,1157
2020-09-24,1182
2020-09-25,1208
2020-09-26,1227
2020-09-27,1249
2020-09-28,1280
2020-09-29,1315
2020-09-30,1349
2020-10-01,1385
2020-10-02,1432
2020-10-03,1456
2020-10-04,1473
2020-10-05,1495
2020-10-06,1534
2020-10-07,1582
2020-10-08,1606
2020-10-09,1648
2020-10-10,1687
2020-10-11,1721
2020-10-12,1742
2020-10-13,1773
2020-10-14,1812
2020-10-15,1848
2020-10-16,1889
2020-10-17,1934
2020-10-18,1969
2020-10-19,2045
2020-10-20,2154
2020-10-21,2213
2020-10-22,2276
2020-10-23,2328
2020-10-24,2370
2020-10-25,2392
2020-10-26,2442
2020-10-27,2490
2020-10-28,2523
2020-10-29,2589
2020-10-30,2639
2020-10-31,2679
2020-11-01,2714
2020-11-02,2742
2020-11-03,2773
2020-11-04,2820
2020-11-05,2869
2020-11-06,2904
2020-11-07,2944
2020-11-08,2977
2020-11-09,3026
2020-11-10,3071
2020-11-11,3098
2020-11-12,3153
2020-11-13,3201
2020-11-14,3237
2020-11-15,3263
2020-11-16,3300
2020-11-17,3340
2020-11-18,3385
2020-11-19,3437
2020-11-20,3483
2020-11-21,3511
2020-11-22,3544
2020-11-23,3587
2020-11-24,3630
2020-11-25,3642
2020-11-26,3663
2020-11-27,3671
2020-11-28,3687
2020-11-29,3710
2020-11-30,3731
2020-12-01,3758
2020-12-02,3771
2020-12-03,3788
2020-12-04,3808
2020-12-05,3819
2020-12-06,3820
2020-12-07,3840
2020-12-09,3856
2020-12-10,3871
2020-12-11,3874
