date,cases
2020-05-08,1
2020-05-25,2
2020-06-01,3
2020-07-05,4
2020-07-07,9
2020-07-08,12
2020-07-11,13
2020-07-12,14
2020-07-13,25
2020-07-14,29
2020-07-15,49
2020-07-16,67
2020-07-17,75
2020-07-18,81
2020-07-19,82
2020-07-20,91
2020-07-21,100
2020-07-22,105
2020-07-23,115
2020-07-24,125
2020-07-25,129
2020-07-26,152
2020-07-27,162
2020-07-28,169
2020-07-29,171
2020-07-30,177
2020-07-31,189
2020-08-01,192
2020-08-02,203
2020-08-03,206
2020-08-04,214
2020-08-05,222
2020-08-06,228
2020-08-07,230
2020-08-08,232
2020-08-09,234
2020-08-10,243
2020-08-11,247
2020-08-12,252
2020-08-13,256
2020-08-14,266
2020-08-15,267
2020-08-16,276
2020-08-17,282
2020-08-18,295
2020-08-19,298
2020-08-20,306
2020-08-21,310
2020-08-22,312
2020-08-23,315
2020-08-24,327
2020-08-25,338
2020-08-26,339
2020-08-27,340
2020-08-28,343
2020-08-29,346
2020-08-30,354
2020-08-31,361
2020-09-01,369
2020-09-02,375
2020-09-03,378
2020-09-04,403
2020-09-05,404
2020-09-06,406
2020-09-07,411
2020-09-08,438
2020-09-09,441
2020-09-10,482
2020-09-11,484
2020-09-12,488
2020-09-14,490
2020-09-15,491
2020-09-17,492
2020-09-18,494
2020-09-19,496
2020-09-21,500
2020-09-23,503
2020-09-24,505
2020-09-25,508
2020-09-27,509
2020-09-28,511
2020-09-29,517
2020-09-30,518
2020-10-01,520
2020-10-02,525
2020-10-03,527
2020-10-05,531
2020-10-06,536
2020-10-07,539
2020-10-08,540
2020-10-09,541
2020-10-10,542
2020-10-13,543
2020-10-15,545
2020-10-16,547
2020-10-19,552
2020-10-20,553
2020-10-22,554
2020-10-24,556
2020-10-25,557
2020-10-26,559
2020-10-30,561
2020-11-03,563
2020-11-05,565
2020-11-06,567
2020-11-10,568
2020-11-13,569
2020-11-14,570
2020-11-15,571
2020-11-16,572
2020-11-18,573
2020-11-21,574
2020-12-01,576
