date,cases
2020-05-01,1
2020-05-05,2
2020-05-26,6
2020-06-06,7
2020-06-09,8
2020-06-10,9
2020-06-15,10
2020-06-16,13
2020-06-18,14
2020-06-20,24
2020-06-21,25
2020-06-22,32
2020-06-23,33
2020-06-24,35
2020-06-25,37
2020-06-26,45
2020-06-27,58
2020-06-28,61
2020-06-29,65
2020-06-30,69
2020-07-01,73
2020-07-02,75
2020-07-03,84
2020-07-04,86
2020-07-05,89
2020-07-06,94
2020-07-07,96
2020-07-08,105
2020-07-09,108
2020-07-10,113
2020-07-12,122
2020-07-13,133
2020-07-14,141
2020-07-15,147
2020-07-16,180
2020-07-17,194
2020-07-18,239
2020-07-19,251
2020-07-20,259
2020-07-21,266
2020-07-22,269
2020-07-23,276
2020-07-24,287
2020-07-25,306
2020-07-26,317
2020-07-27,323
2020-07-28,340
2020-07-29,342
2020-07-30,348
2020-07-31,354
2020-08-01,379
2020-08-02,391
2020-08-03,403
2020-08-04,423
2020-08-05,428
2020-08-06,432
2020-08-07,441
2020-08-08,449
2020-08-09,451
2020-08-10,455
2020-08-11,457
2020-08-12,464
2020-08-13,465
2020-08-15,466
2020-08-16,475
2020-08-17,482
2020-08-18,484
2020-08-19,485
2020-08-20,487
2020-08-21,494
2020-08-23,495
2020-08-24,504
2020-08-25,507
2020-08-26,510
2020-08-27,512
2020-08-29,518
2020-08-30,519
2020-08-31,520
2020-09-01,521
2020-09-02,522
2020-09-03,523
2020-09-04,528
2020-09-05,533
2020-09-07,541
2020-09-08,544
2020-09-09,545
2020-09-11,548
2020-09-15,550
2020-09-17,551
2020-09-18,552
2020-09-19,553
2020-09-21,554
2020-09-22,557
2020-09-24,558
2020-09-26,560
2020-09-28,562
2020-09-29,566
2020-10-02,570
2020-10-06,571
2020-10-07,572
2020-10-09,573
2020-10-11,574
2020-10-15,576
2020-10-16,577
2020-10-17,586
2020-10-19,587
2020-10-23,588
2020-10-27,589
