date,cases
2020-06-09,1
2020-06-13,2
2020-06-15,24
2020-06-20,31
2020-06-21,33
2020-06-23,39
2020-06-24,41
2020-06-25,42
2020-06-26,43
2020-06-27,48
2020-06-28,54
2020-06-29,57
2020-06-30,105
2020-07-06,107
2020-07-07,109
2020-07-08,131
2020-07-11,132
2020-07-12,161
2020-07-13,163
2020-07-14,164
2020-07-16,167
2020-07-17,171
2020-07-18,172
2020-07-27,184
2020-07-29,185
2020-07-31,186
2020-08-27,187
2020-08-29,188
2020-09-11,189
2020-09-19,190
2020-09-21,191
2020-09-23,192
2020-09-28,193
2020-09-29,194
2020-10-04,195
2020-10-05,196
2020-10-13,201
2020-10-14,203
2020-10-15,204
2020-10-17,207
2020-10-19,208
2020-10-20,210
2020-10-21,213
2020-10-22,214
2020-10-23,215
2020-10-24,216
2020-10-25,217
2020-10-26,218
2020-10-27,219
