date,cases
2020-05-24,189
2020-05-30,290
2020-06-02,133
2020-06-06,321
2020-06-07,339
2020-06-09,349
2020-06-10,26
2020-06-11,40
2020-06-12,51
2020-06-13,78
2020-06-14,84
2020-06-15,90
2020-06-16,101
2020-06-17,110
2020-06-18,119
2020-06-21,139
2020-06-22,143
2020-06-23,161
2020-06-24,192
2020-06-25,206
2020-07-01,2
2020-07-04,303
2020-07-05,311
2020-07-06,322
2020-07-07,340
2020-07-08,344
2020-07-09,351
2020-07-10,31
2020-07-11,42
2020-07-12,75
2020-07-13,79
2020-07-14,87
2020-07-15,93
2020-07-16,107
2020-07-17,115
2020-07-18,124
2020-07-19,127
2020-07-20,138
2020-07-21,141
2020-07-22,156
2020-07-23,184
2020-07-24,202
2020-07-25,240
2020-07-26,243
2020-07-27,249
2020-07-28,261
2020-07-29,283
2020-07-30,295
2020-07-31,298
2020-08-01,6
2020-08-02,135
2020-08-03,287
2020-08-05,315
2020-08-06,335
2020-08-10,32
2020-08-12,76
2020-08-13,80
2020-08-15,96
2020-08-16,108
2020-08-18,126
2020-08-19,128
2020-08-21,142
2020-08-22,157
2020-08-23,187
2020-08-24,204
2020-08-25,242
2020-08-28,263
2020-08-29,284
2020-08-31,300
2020-09-01,8
2020-09-04,308
2020-09-05,316
2020-09-06,338
2020-09-08,346
2020-09-10,35
2020-09-11,50
2020-09-12,77
2020-09-13,82
2020-09-16,109
2020-09-19,129
2020-09-23,188
2020-09-24,205
2020-10-02,132
2020-10-08,341
2020-10-09,347
2020-10-16,100
