date,cases
2020-05-21,2
2020-05-22,5
2020-05-27,6
2020-05-28,12
2020-05-29,19
2020-05-30,20
2020-06-09,21
2020-06-11,26
2020-06-17,27
2020-07-09,28
2020-07-13,30
2020-07-16,35
2020-07-21,36
2020-07-22,38
2020-07-23,39
2020-07-24,41
2020-07-25,47
2020-07-27,48
2020-07-28,52
2020-07-30,53
2020-08-03,55
2020-08-04,57
2020-08-05,58
2020-08-06,63
2020-08-07,67
2020-08-08,68
2020-08-11,71
2020-08-13,72
2020-08-14,76
2020-08-18,78
2020-08-19,83
2020-08-21,88
2020-08-23,90
2020-08-24,93
2020-08-25,107
2020-08-26,108
2020-08-27,112
2020-08-28,114
2020-08-29,121
2020-08-30,123
2020-08-31,124
2020-09-01,129
2020-09-02,134
2020-09-03,138
2020-09-04,143
2020-09-06,144
2020-09-07,152
2020-09-08,155
2020-09-09,156
2020-09-10,159
2020-09-11,165
2020-09-12,166
2020-09-14,172
2020-09-15,173
2020-09-16,177
2020-09-17,178
2020-09-18,184
2020-09-19,192
2020-09-20,194
2020-09-21,196
2020-09-22,201
2020-09-23,202
2020-09-24,203
2020-09-26,204
2020-09-29,206
2020-09-30,221
2020-10-01,222
2020-10-03,227
2020-10-04,230
2020-10-05,238
2020-10-06,239
2020-10-07,248
2020-10-09,252
2020-10-11,253
2020-10-13,259
2020-10-15,260
2020-10-17,264
2020-10-19,269
2020-10-20,270
2020-10-21,277
2020-10-22,278
2020-10-27,279
