date,cases
2020-06-30,1
2020-07-01,2
2020-07-09,3
2020-07-10,4
2020-07-15,9
2020-07-16,10
2020-07-19,13
2020-07-20,15
2020-07-21,17
2020-07-22,20
2020-07-23,21
2020-07-24,22
2020-07-29,25
2020-07-30,28
2020-07-31,29
2020-08-01,31
2020-08-03,42
2020-08-04,49
2020-08-05,59
2020-08-06,67
2020-08-07,72
2020-08-08,75
2020-08-09,84
2020-08-10,94
2020-08-11,104
2020-08-12,107
2020-08-13,111
2020-08-14,112
2020-08-16,119
2020-08-17,122
2020-08-18,127
2020-08-19,128
2020-08-20,135
2020-08-21,136
2020-08-22,152
2020-08-23,155
2020-08-24,159
2020-08-25,162
2020-08-26,168
2020-08-27,172
2020-08-31,173
2020-09-01,174
2020-09-03,177
2020-09-07,179
2020-09-08,180
2020-09-13,182
2020-09-14,183
2020-09-15,188
2020-09-16,196
2020-09-17,199
2020-09-18,204
2020-09-20,205
2020-09-21,206
2020-09-24,207
2020-09-27,208
2020-09-30,209
2020-10-01,213
2020-10-05,216
2020-10-06,219
2020-10-07,222
2020-10-08,223
2020-10-09,227
2020-10-11,228
2020-10-12,232
2020-10-13,233
2020-10-14,235
2020-10-15,238
2020-10-16,247
2020-10-19,248
2020-10-20,251
2020-10-21,252
2020-10-22,253
2020-10-23,255
2020-10-26,257
2020-10-28,258
2020-10-30,259
2020-11-02,262
