date,cases
2020-03-22,1
2020-03-31,3
2020-07-08,4
2020-07-30,5
2020-08-16,6
2020-08-24,7
2020-09-17,9
2020-09-21,11
2020-09-22,13
2020-09-24,15
2020-09-28,17
2020-09-29,19
2020-09-30,20
2020-10-01,21
2020-10-07,22
2020-10-13,23
2020-10-15,25
2020-10-16,26
2020-10-19,28
2020-10-20,29
2020-10-22,30
2020-10-23,35
2020-10-27,37
2020-10-28,38
2020-10-29,39
2020-11-04,40
2020-11-11,41
2020-11-24,42
2020-11-29,45
2020-11-30,47
2020-12-01,48
2020-12-03,49
2020-12-04,52
2020-12-07,53
2020-12-09,55
2020-12-14,57
2020-12-16,58
2020-12-21,59
2020-12-22,60
