date,cases
2020-07-08,2
2020-07-12,3
2020-07-14,5
2020-07-17,6
2020-07-18,7
2020-07-19,8
2020-07-20,9
2020-07-22,17
2020-07-23,23
2020-07-24,25
2020-07-25,32
2020-07-27,33
2020-07-28,36
2020-07-29,40
2020-07-30,41
2020-08-02,43
2020-08-03,45
2020-08-04,49
2020-08-05,70
2020-08-08,71
2020-08-10,78
2020-08-12,80
2020-08-14,82
2020-08-15,91
2020-08-19,95
2020-08-20,96
2020-08-22,97
2020-08-23,103
2020-08-24,106
2020-08-25,108
2020-08-27,118
2020-09-03,145
2020-09-04,146
2020-09-05,147
2020-09-07,149
2020-09-14,153
2020-09-16,178
2020-09-17,182
2020-09-18,184
2020-09-19,185
2020-09-20,200
2020-09-21,202
2020-09-22,203
2020-09-24,204
2020-09-29,205
2020-10-03,206
2020-10-06,209
2020-10-07,210
2020-10-13,212
2020-10-15,215
2020-10-16,221
2020-10-17,222
2020-10-18,223
2020-10-20,224
2020-10-22,227
2020-10-26,228
2020-10-27,232
2020-10-29,233
2020-10-31,234
2020-11-03,235
2020-11-09,236
2020-11-13,237
2020-11-19,238
