date,cases
2020-07-21,1
2020-07-25,3
2020-07-27,4
2020-07-29,5
2020-07-30,7
2020-07-31,10
2020-08-01,12
2020-08-02,13
2020-08-03,16
2020-08-04,18
2020-08-05,23
2020-08-06,27
2020-08-07,28
2020-08-08,29
2020-08-10,37
2020-08-11,40
2020-08-12,41
2020-08-13,45
2020-08-16,49
2020-08-18,50
2020-08-20,51
2020-08-24,52
2020-08-25,53
2020-08-28,54
2020-09-09,55
2020-09-11,56
2020-09-17,57
2020-10-01,59
2020-10-03,60
2020-10-04,61
2020-10-05,62
2020-10-07,63
2020-10-09,64
2020-10-13,65
2020-10-18,66
2020-11-07,67
2020-11-14,68
2020-11-17,69
2020-11-18,71
2020-11-22,72
2020-11-23,73
2020-11-25,74
2020-11-26,75
2020-11-28,76
2020-11-30,77
2020-12-01,78
2020-12-03,80
2020-12-04,81
2020-12-07,82
2020-12-10,85
2020-12-14,87
2020-12-15,88
