date,cases
2020-09-01,2
2020-09-14,4
2020-09-16,6
2020-09-18,7
2020-09-22,11
2020-09-23,12
2020-09-24,18
2020-09-25,21
2020-09-27,27
2020-09-28,29
2020-09-29,31
2020-10-01,45
2020-10-02,46
2020-10-04,47
2020-10-05,48
2020-10-06,53
2020-10-07,54
2020-10-09,55
2020-10-13,58
2020-10-15,78
2020-10-16,80
2020-10-17,81
2020-10-18,83
2020-10-20,85
2020-10-21,86
2020-10-22,88
2020-10-27,103
2020-11-01,110
2020-11-06,112
2020-11-10,114
2020-11-11,115
2020-11-13,117
2020-11-18,118
2020-11-19,119
2020-11-24,120
2020-12-01,122
2020-12-03,124
2020-12-04,125
