date,cases
2020-04-20,85
2020-04-28,130
2020-05-05,180
2020-06-01,3
2020-06-06,186
2020-06-24,110
2020-07-02,82
2020-07-03,141
2020-07-04,166
2020-07-06,188
2020-07-08,212
2020-07-10,11
2020-07-11,20
2020-07-13,31
2020-07-14,42
2020-07-18,68
2020-07-21,89
2020-07-24,111
2020-07-27,124
2020-07-30,151
2020-08-01,4
2020-08-03,143
2020-08-06,189
2020-08-13,32
2020-08-14,46
2020-08-15,49
2020-08-17,61
2020-08-18,70
2020-08-19,74
2020-08-21,95
2020-08-22,102
2020-08-23,108
2020-08-24,114
2020-08-25,117
2020-08-26,119
2020-08-27,129
2020-08-28,135
2020-08-29,138
2020-08-31,162
2020-09-01,8
2020-09-02,83
2020-09-03,148
2020-09-04,169
2020-09-05,183
2020-09-06,195
2020-09-07,204
2020-09-08,214
2020-09-09,220
2020-09-10,16
2020-09-11,22
2020-09-12,27
2020-09-13,36
2020-09-14,47
2020-09-15,50
2020-09-16,60
2020-09-17,63
2020-09-18,72
2020-09-19,77
2020-09-21,100
2020-09-22,105
2020-09-23,109
2020-09-24,115
2020-09-26,121
2020-09-28,136
2020-09-30,155
2020-10-01,2
2020-10-02,81
2020-10-03,140
2020-10-04,165
2020-10-05,178
2020-10-06,185
2020-10-07,202
2020-10-08,207
2020-10-09,217
2020-10-10,10
2020-10-11,19
2020-10-12,24
2020-10-13,30
2020-10-14,41
2020-10-15,48
2020-10-16,54
2020-10-18,64
2020-10-19,73
2020-10-20,84
2020-10-21,87
2020-10-22,101
2020-10-23,106
2020-10-25,116
2020-10-26,118
2020-10-27,123
2020-10-29,137
