date,cases
2020-05-06,1
2020-07-06,2
2020-07-07,3
2020-07-08,5
2020-07-09,10
2020-07-10,12
2020-07-11,15
2020-07-13,16
2020-07-14,17
2020-07-17,25
2020-07-18,33
2020-07-22,39
2020-07-23,42
2020-07-24,44
2020-07-28,45
2020-07-29,49
2020-07-30,51
2020-08-01,52
2020-08-02,53
2020-08-03,57
2020-08-04,59
2020-08-05,61
2020-08-06,64
2020-08-07,67
2020-08-08,69
2020-08-10,77
2020-08-11,78
2020-08-12,79
2020-08-13,85
2020-08-14,86
2020-08-15,88
2020-08-16,93
2020-08-17,96
2020-08-19,99
2020-08-21,102
2020-08-22,104
2020-08-24,107
2020-08-27,109
2020-08-28,110
2020-08-30,111
2020-08-31,112
2020-09-01,114
2020-09-02,115
2020-09-03,118
2020-09-04,119
2020-09-05,120
2020-09-08,123
2020-09-09,126
2020-09-12,127
2020-09-13,129
2020-09-15,132
2020-09-17,135
2020-09-18,137
2020-09-19,140
2020-09-21,145
2020-09-22,149
2020-09-24,151
2020-09-26,153
2020-09-28,154
2020-09-29,155
2020-09-30,158
2020-10-01,159
2020-10-02,161
2020-10-03,163
2020-10-04,164
2020-10-05,166
2020-10-06,168
2020-10-07,169
2020-10-08,170
2020-10-09,174
2020-10-11,176
2020-10-12,178
2020-10-13,180
2020-10-14,182
2020-10-15,184
2020-10-16,186
2020-10-17,188
2020-10-18,189
2020-10-19,194
2020-10-20,196
2020-10-21,201
2020-10-22,205
2020-10-23,209
2020-10-24,210
2020-10-27,211
2020-10-28,212
2020-10-29,213
