date,cases
2020-04-04,1
2020-04-09,2
2020-05-03,3
2020-05-10,4
2020-05-11,5
2020-05-17,7
2020-05-19,10
2020-05-21,13
2020-05-23,15
2020-05-24,21
2020-05-25,22
2020-05-28,23
2020-06-01,25
2020-06-02,26
2020-06-03,28
2020-06-05,32
2020-06-06,33
2020-06-07,36
2020-06-08,40
2020-06-09,54
2020-06-10,62
2020-06-11,107
2020-06-12,150
2020-06-13,151
2020-06-16,192
2020-06-17,304
2020-06-18,392
2020-06-19,427
2020-06-20,458
2020-06-21,459
2020-06-22,464
2020-06-23,579
2020-06-24,614
2020-06-25,673
2020-06-26,705
2020-06-27,715
2020-06-28,717
2020-06-29,719
2020-06-30,728
2020-07-01,754
2020-07-02,772
2020-07-03,905
2020-07-04,915
2020-07-05,921
2020-07-06,951
2020-07-07,989
2020-07-08,1015
2020-07-09,1040
2020-07-10,1051
2020-07-11,1061
2020-07-12,1067
2020-07-13,1071
2020-07-14,1085
2020-07-15,1112
2020-07-16,1121
2020-07-17,1127
2020-07-18,1136
2020-07-19,1141
2020-07-20,1145
2020-07-21,1148
2020-07-22,1169
2020-07-23,1178
2020-07-24,1182
2020-07-25,1192
2020-07-26,1197
2020-07-27,1204
2020-07-28,1228
2020-07-29,1248
2020-07-30,1252
2020-07-31,1268
2020-08-01,1274
2020-08-02,1275
2020-08-03,1290
2020-08-04,1307
2020-08-05,1314
2020-08-06,1324
2020-08-07,1331
2020-08-08,1336
2020-08-09,1340
2020-08-10,1345
2020-08-11,1354
2020-08-12,1363
2020-08-13,1376
2020-08-14,1382
2020-08-15,1391
2020-08-16,1397
2020-08-17,1401
2020-08-18,1418
2020-08-19,1432
2020-08-20,1445
2020-08-21,1451
2020-08-22,1465
2020-08-23,1471
2020-08-24,1500
2020-08-25,1510
2020-08-26,1511
2020-08-27,1518
2020-08-28,1523
2020-08-29,1526
2020-08-30,1534
2020-08-31,1538
2020-09-01,1547
2020-09-02,1551
2020-09-03,1558
2020-09-04,1572
2020-09-05,1575
2020-09-06,1577
2020-09-07,1583
2020-09-08,1586
2020-09-09,1592
2020-09-10,1600
2020-09-11,1602
2020-09-12,1606
2020-09-13,1612
2020-09-14,1614
2020-09-15,1617
2020-09-16,1621
2020-09-17,1624
2020-09-18,1630
2020-09-19,1631
2020-09-20,1634
2020-09-21,1637
2020-09-22,1644
2020-09-23,1649
2020-09-24,1650
2020-09-25,1651
2020-09-26,1652
2020-09-27,1655
2020-09-28,1661
2020-09-29,1664
2020-09-30,1668
2020-10-01,1673
2020-10-02,1676
2020-10-03,1679
2020-10-04,1681
2020-10-05,1688
2020-10-06,1693
2020-10-07,1695
2020-10-09,1705
2020-10-10,1707
2020-10-12,1714
2020-10-13,1716
2020-10-14,1720
2020-10-15,1723
2020-10-16,1731
2020-10-17,1734
2020-10-18,1742
2020-10-19,1747
2020-10-20,1758
2020-10-22,1763
2020-10-23,1769
2020-10-24,1774
2020-10-25,1776
2020-10-26,1785
2020-10-27,1789
2020-10-28,1792
2020-10-29,1800
2020-10-30,1810
2020-10-31,1819
2020-11-01,1828
2020-11-02,1835
2020-11-03,1847
2020-11-04,1848
2020-11-05,1854
2020-11-06,1859
2020-11-07,1873
2020-11-08,1880
2020-11-09,1889
2020-11-10,1898
2020-11-11,1900
2020-11-12,1904
2020-11-13,1917
2020-11-14,1934
2020-11-15,1940
2020-11-16,1945
2020-11-17,1952
2020-11-18,1966
2020-11-19,1975
2020-11-20,1985
2020-11-21,1989
2020-11-22,1990
2020-11-23,1993
2020-11-24,1995
2020-11-26,1999
2020-11-28,2004
2020-11-29,2005
