date,cases
2020-05-15,2
2020-05-24,3
2020-05-29,6
2020-05-30,7
2020-05-31,10
2020-06-01,12
2020-06-04,14
2020-06-10,15
2020-06-12,16
2020-06-16,17
2020-06-18,18
2020-06-20,19
2020-06-23,20
2020-06-27,21
2020-06-30,22
2020-07-08,23
2020-07-10,24
2020-07-13,25
2020-07-16,26
2020-07-18,28
2020-07-20,29
2020-07-23,31
2020-07-28,32
2020-07-29,33
2020-08-03,34
2020-08-04,37
2020-08-05,39
2020-08-06,41
2020-08-07,42
2020-08-08,43
2020-08-09,44
2020-08-10,45
2020-08-11,47
2020-08-12,49
2020-08-13,51
2020-08-14,57
2020-08-15,62
2020-08-16,63
2020-08-17,65
2020-08-18,67
2020-08-19,72
2020-08-20,75
2020-08-21,79
2020-08-24,85
2020-08-25,93
2020-08-26,94
2020-08-27,98
2020-08-28,106
2020-08-30,108
2020-08-31,113
2020-09-01,115
2020-09-02,120
2020-09-03,121
2020-09-04,129
2020-09-06,130
2020-09-07,134
2020-09-08,135
2020-09-09,137
2020-09-10,144
2020-09-11,147
2020-09-13,148
2020-09-14,151
2020-09-15,152
2020-09-16,154
2020-09-17,156
2020-09-18,158
2020-09-22,159
2020-09-23,160
2020-09-25,161
2020-09-27,163
2020-09-28,164
2020-09-29,165
2020-09-30,167
2020-10-02,170
2020-10-03,173
2020-10-04,174
2020-10-06,175
2020-10-09,176
2020-10-10,178
2020-10-13,180
2020-10-14,184
2020-10-16,187
2020-10-18,188
2020-10-19,189
2020-10-21,193
2020-10-22,194
2020-10-24,195
2020-10-25,197
2020-10-26,199
2020-10-27,201
2020-10-28,206
2020-10-29,209
2020-10-30,211
2020-10-31,212
2020-11-01,213
2020-11-02,215
2020-11-03,217
2020-11-05,218
2020-11-06,220
2020-11-07,229
2020-11-09,232
2020-11-10,237
2020-11-11,239
2020-11-12,243
2020-11-13,247
2020-11-15,249
2020-11-16,251
2020-11-17,253
2020-11-18,257
2020-11-19,258
2020-11-20,259
2020-11-21,262
2020-11-22,263
2020-11-23,268
2020-11-24,271
2020-11-25,273
2020-11-26,276
2020-11-27,281
2020-11-28,282
2020-11-29,283
2020-11-30,284
2020-12-01,289
2020-12-02,290
2020-12-03,294
2020-12-04,296
2020-12-05,302
2020-12-06,307
2020-12-07,314
2020-12-08,317
2020-12-09,320
2020-12-10,325
2020-12-11,332
2020-12-12,337
2020-12-13,339
2020-12-14,344
2020-12-15,346
2020-12-16,351
2020-12-17,355
2020-12-18,362
2020-12-19,364
2020-12-20,368
2020-12-21,372
2020-12-22,380
2020-12-23,384
2020-12-24,386
2020-12-25,388
2020-12-26,391
2020-12-27,392
2020-12-28,397
2020-12-29,400
2020-12-30,401
