date,cases
2020-04-16,1
2020-04-21,2
2020-04-22,6
2020-04-23,7
2020-04-24,8
2020-04-27,9
2020-04-29,10
2020-04-30,13
2020-05-01,14
2020-05-05,15
2020-05-07,16
2020-05-08,18
2020-05-13,19
2020-05-14,20
2020-05-20,21
2020-05-21,22
2020-06-04,23
2020-06-14,24
2020-06-18,25
2020-06-19,27
2020-06-23,35
2020-06-24,36
2020-06-25,38
2020-06-26,39
2020-06-27,41
2020-06-28,42
2020-06-29,48
2020-06-30,55
2020-07-01,61
2020-07-02,69
2020-07-03,85
2020-07-04,105
2020-07-05,126
2020-07-06,154
2020-07-07,188
2020-07-08,232
2020-07-09,273
2020-07-10,300
2020-07-11,317
2020-07-12,340
2020-07-13,450
2020-07-14,506
2020-07-15,575
2020-07-16,682
2020-07-17,761
2020-07-18,828
2020-07-19,898
2020-07-20,986
2020-07-21,1101
2020-07-22,1203
2020-07-23,1286
2020-07-24,1427
2020-07-25,1522
2020-07-26,1580
2020-07-27,1652
2020-07-28,1778
2020-07-29,1938
2020-07-30,2044
2020-07-31,2170
2020-08-01,2256
2020-08-02,2307
2020-08-03,2481
2020-08-04,2646
2020-08-05,2759
2020-08-06,2919
2020-08-07,2980
2020-08-08,3055
2020-08-09,3099
2020-08-10,3203
2020-08-11,3324
2020-08-12,3472
2020-08-13,3588
2020-08-14,3703
2020-08-15,3777
2020-08-16,3851
2020-08-17,3969
2020-08-18,4063
2020-08-19,4172
2020-08-20,4278
2020-08-21,4366
2020-08-22,4400
2020-08-23,4452
2020-08-24,4545
2020-08-25,4668
2020-08-26,4706
2020-08-27,4854
2020-08-28,4914
2020-08-29,4968
2020-08-30,4998
2020-08-31,5034
2020-09-01,5096
2020-09-02,5143
2020-09-03,5200
2020-09-04,5246
2020-09-05,5289
2020-09-06,5326
2020-09-07,5346
2020-09-08,5388
2020-09-09,5443
2020-09-10,5497
2020-09-11,5558
2020-09-12,5594
2020-09-13,5653
2020-09-14,5718
2020-09-15,5789
2020-09-16,5835
2020-09-17,5907
2020-09-18,5996
2020-09-19,6028
2020-09-20,6077
2020-09-21,6178
2020-09-22,6235
2020-09-23,6289
2020-09-24,6328
2020-09-25,6361
2020-09-26,6395
2020-09-27,6428
2020-09-28,6482
2020-09-29,6527
2020-09-30,6680
2020-10-01,6727
2020-10-02,6754
2020-10-03,6797
2020-10-04,6828
2020-10-05,6961
2020-10-06,7009
2020-10-07,7071
2020-10-08,7110
2020-10-09,7188
2020-10-10,7228
2020-10-11,7250
2020-10-12,7280
2020-10-13,7311
2020-10-14,7355
2020-10-15,7392
2020-10-16,7452
2020-10-17,7501
2020-10-18,7540
2020-10-19,7598
2020-10-20,7673
2020-10-21,7747
2020-10-22,7878
2020-10-23,7930
2020-10-24,7968
2020-10-25,8004
2020-10-26,8079
2020-10-27,8118
2020-10-28,8214
2020-10-29,8291
2020-10-30,8319
2020-10-31,8411
2020-11-01,8455
2020-11-02,8484
2020-11-03,8526
2020-11-04,8575
2020-11-05,8619
2020-11-06,8667
2020-11-07,8693
2020-11-08,8726
2020-11-09,8805
2020-11-10,8923
2020-11-11,8955
2020-11-12,8997
2020-11-13,9038
2020-11-14,9072
2020-11-15,9101
2020-11-16,9136
2020-11-17,9149
2020-11-18,9172
2020-11-19,9233
2020-11-20,9270
2020-11-21,9294
2020-11-22,9325
2020-11-23,9364
2020-11-24,9387
2020-11-25,9419
2020-11-26,9469
2020-11-27,9486
2020-11-28,9504
2020-11-29,9510
2020-11-30,9543
2020-12-01,9580
2020-12-02,9603
2020-12-03,9627
2020-12-04,9675
2020-12-05,9684
2020-12-06,9706
2020-12-07,9737
2020-12-08,9749
2020-12-09,9808
2020-12-10,9834
2020-12-11,9846
2020-12-12,9863
2020-12-13,9864
2020-12-14,9876
2020-12-15,9895
2020-12-16,9902
