date,cases
2020-07-27,56
2020-07-28,60
2020-08-01,6
2020-08-07,76
2020-08-11,8
2020-08-16,16
2020-08-20,36
2020-08-28,61
2020-08-31,71
2020-09-02,29
2020-09-07,78
2020-09-09,79
2020-09-14,12
2020-09-24,44
2020-09-29,62
2020-09-30,69
2020-10-02,27
2020-10-05,72
2020-10-06,73
2020-10-07,75
2020-10-10,7
2020-10-13,10
2020-10-14,11
2020-10-15,13
2020-10-16,15
2020-10-18,17
2020-10-19,25
2020-10-20,32
2020-10-21,39
2020-10-22,43
2020-10-25,48
2020-10-26,53
2020-10-27,55
2020-10-28,59
2020-10-30,65
2020-10-31,70
