date,cases
2020-04-02,1
2020-04-12,2
2020-04-20,3
2020-04-23,4
2020-04-27,8
2020-04-29,9
2020-05-01,10
2020-05-02,17
2020-05-06,21
2020-05-07,22
2020-05-10,23
2020-05-12,24
2020-05-21,25
2020-06-30,27
2020-07-01,30
2020-07-02,31
2020-07-03,32
2020-07-06,38
2020-07-07,41
2020-07-08,43
2020-07-09,50
2020-07-11,52
2020-07-12,75
2020-07-14,82
2020-07-17,89
2020-07-20,110
2020-07-21,114
2020-07-22,135
2020-07-23,136
2020-07-24,137
2020-07-26,138
2020-07-27,139
2020-07-28,146
2020-07-29,152
2020-07-30,160
2020-07-31,175
2020-08-01,180
2020-08-03,183
2020-08-04,188
2020-08-05,193
2020-08-06,195
2020-08-07,196
2020-08-09,225
2020-08-10,230
2020-08-11,234
2020-08-12,236
2020-08-13,240
2020-08-14,247
2020-08-15,256
2020-08-22,258
2020-08-24,259
2020-08-26,261
2020-08-28,263
2020-09-01,264
2020-09-02,265
2020-09-03,266
2020-09-04,268
2020-09-08,270
2020-09-09,272
2020-09-10,274
2020-09-11,276
2020-09-12,280
2020-09-14,282
2020-09-15,283
2020-09-16,285
2020-09-17,286
2020-09-18,287
2020-09-20,288
2020-09-21,289
2020-09-22,290
2020-09-23,292
2020-09-25,293
2020-09-27,294
2020-09-28,296
2020-09-29,299
2020-09-30,301
2020-10-01,302
2020-10-02,306
2020-10-04,310
2020-10-06,312
2020-10-08,314
2020-10-09,315
2020-10-10,318
2020-10-11,319
2020-10-12,321
2020-10-14,324
2020-10-16,326
2020-10-17,328
2020-10-18,330
2020-10-19,332
2020-10-21,334
2020-10-22,338
2020-10-23,341
2020-10-24,343
2020-10-25,344
2020-10-26,348
2020-10-27,352
2020-10-28,354
