date,cases
2020-06-12,1
2020-06-16,4
2020-06-18,5
2020-06-26,6
2020-07-02,7
2020-07-13,9
2020-07-16,10
2020-07-27,11
2020-07-30,13
2020-08-03,14
2020-08-04,17
2020-08-05,18
2020-08-06,21
2020-08-08,22
2020-08-10,23
2020-08-11,25
2020-08-14,26
2020-08-16,28
2020-08-17,29
2020-08-18,30
2020-08-19,31
2020-08-21,34
2020-08-22,37
2020-08-24,39
2020-08-26,40
2020-08-27,41
2020-08-29,43
2020-08-31,45
2020-09-01,48
2020-09-02,50
2020-09-03,51
2020-09-04,53
2020-09-07,56
2020-09-08,57
2020-09-10,59
2020-09-11,61
2020-09-13,62
2020-09-14,63
2020-09-15,64
2020-09-16,67
2020-09-17,71
2020-09-18,73
2020-09-19,74
2020-09-20,76
2020-09-21,78
2020-09-22,80
2020-09-23,85
2020-09-24,86
2020-09-25,91
2020-09-26,120
2020-09-27,121
2020-09-28,127
2020-09-29,129
2020-09-30,130
2020-10-04,131
2020-10-05,134
2020-10-06,136
2020-10-07,138
2020-10-09,139
2020-10-10,141
2020-10-12,142
2020-10-14,144
2020-10-15,146
2020-10-16,147
2020-10-17,148
2020-10-19,150
2020-10-20,152
2020-10-21,154
2020-10-22,156
2020-10-23,159
2020-10-26,163
2020-10-27,165
2020-10-28,169
2020-10-29,170
2020-11-01,171
2020-11-03,173
2020-11-04,174
2020-11-05,175
2020-11-06,179
2020-11-07,180
2020-11-08,184
2020-11-09,185
2020-11-10,193
2020-11-11,195
2020-11-12,197
2020-11-13,198
2020-11-14,199
2020-11-15,200
2020-11-17,202
2020-11-18,203
2020-11-19,205
2020-11-20,211
2020-11-21,217
2020-11-23,219
2020-11-24,226
2020-11-25,228
2020-11-26,231
2020-11-27,234
2020-11-28,239
2020-11-30,243
2020-12-01,244
2020-12-02,248
2020-12-03,253
2020-12-05,254
2020-12-06,255
2020-12-07,256
2020-12-08,257
2020-12-09,260
2020-12-10,263
2020-12-11,265
2020-12-14,269
2020-12-15,273
2020-12-16,277
2020-12-17,279
