date,cases
2020-06-11,1
2020-06-20,2
2020-06-23,3
2020-06-24,5
2020-06-26,6
2020-06-29,7
2020-06-30,9
2020-07-01,13
2020-07-02,17
2020-07-03,19
2020-07-04,21
2020-07-05,22
2020-07-06,26
2020-07-07,27
2020-07-08,31
2020-07-09,34
2020-07-10,36
2020-07-11,40
2020-07-12,41
2020-07-13,45
2020-07-14,46
2020-07-15,58
2020-07-16,63
2020-07-17,70
2020-07-18,76
2020-07-19,81
2020-07-20,85
2020-07-21,92
2020-07-22,102
2020-07-23,115
2020-07-24,119
2020-07-25,123
2020-07-26,128
2020-07-27,140
2020-07-28,142
2020-07-29,145
2020-07-30,159
2020-07-31,168
2020-08-01,172
2020-08-02,173
2020-08-03,179
2020-08-04,185
2020-08-05,193
2020-08-06,200
2020-08-07,204
2020-08-08,215
2020-08-09,219
2020-08-10,229
2020-08-11,241
2020-08-12,250
2020-08-13,271
2020-08-14,282
2020-08-15,287
2020-08-16,292
2020-08-17,294
2020-08-18,305
2020-08-19,314
2020-08-20,326
2020-08-21,341
2020-08-22,354
2020-08-23,363
2020-08-24,376
2020-08-25,394
2020-08-26,411
2020-08-27,423
2020-08-28,434
2020-08-29,439
2020-08-30,441
2020-08-31,450
2020-09-01,459
2020-09-02,464
2020-09-03,470
2020-09-04,471
2020-09-05,476
2020-09-06,484
2020-09-07,499
2020-09-08,507
2020-09-09,511
2020-09-10,525
2020-09-11,528
2020-09-12,534
2020-09-13,541
2020-09-14,549
2020-09-15,560
2020-09-16,563
2020-09-17,568
2020-09-18,573
2020-09-19,577
2020-09-20,582
2020-09-21,591
2020-09-22,604
2020-09-23,617
2020-09-24,631
2020-09-25,648
2020-09-26,653
2020-09-27,662
2020-09-28,682
2020-09-29,695
2020-09-30,711
2020-10-01,718
2020-10-02,726
2020-10-03,736
2020-10-04,738
2020-10-05,771
2020-10-06,786
2020-10-07,797
2020-10-08,812
2020-10-09,833
2020-10-10,841
2020-10-11,850
2020-10-12,855
2020-10-13,867
2020-10-14,884
2020-10-15,897
2020-10-16,908
2020-10-17,926
2020-10-18,934
2020-10-19,942
2020-10-20,957
2020-10-21,974
2020-10-22,1000
2020-10-23,1019
2020-10-24,1030
2020-10-25,1044
2020-10-26,1065
2020-10-27,1098
2020-10-28,1130
2020-10-29,1155
2020-10-30,1179
2020-10-31,1198
2020-11-01,1211
2020-11-02,1217
2020-11-03,1238
2020-11-04,1251
2020-11-05,1273
2020-11-06,1283
2020-11-07,1295
2020-11-08,1301
2020-11-09,1314
2020-11-10,1330
2020-11-11,1343
2020-11-12,1357
2020-11-13,1372
2020-11-14,1379
2020-11-15,1384
2020-11-16,1387
2020-11-17,1405
2020-11-18,1412
2020-11-19,1429
2020-11-20,1441
2020-11-21,1444
2020-11-22,1451
2020-11-23,1458
2020-11-24,1463
2020-11-25,1474
2020-11-26,1476
2020-11-27,1481
2020-11-28,1493
2020-11-29,1500
2020-11-30,1502
2020-12-01,1512
2020-12-02,1523
2020-12-03,1530
2020-12-04,1534
2020-12-05,1548
2020-12-07,1560
2020-12-08,1562
2020-12-09,1574
2020-12-10,1582
2020-12-11,1599
2020-12-12,1618
2020-12-13,1619
2020-12-14,1650
2020-12-15,1659
