date,cases
2020-05-21,1
2020-05-23,3
2020-05-24,13
2020-05-25,17
2020-05-26,18
2020-05-28,20
2020-05-30,21
2020-06-06,22
2020-06-08,27
2020-06-10,28
2020-06-12,33
2020-06-16,36
2020-06-18,37
2020-06-19,38
2020-06-20,39
2020-06-21,40
2020-06-23,41
2020-06-24,44
2020-06-25,46
2020-06-26,49
2020-06-27,50
2020-06-28,53
2020-06-29,56
2020-06-30,59
2020-07-01,63
2020-07-02,65
2020-07-03,74
2020-07-04,77
2020-07-05,79
2020-07-06,81
2020-07-07,92
2020-07-08,100
2020-07-09,109
2020-07-10,121
2020-07-11,124
2020-07-12,125
2020-07-13,141
2020-07-14,156
2020-07-15,169
2020-07-16,189
2020-07-17,207
2020-07-18,218
2020-07-19,226
2020-07-20,239
2020-07-21,256
2020-07-22,272
2020-07-23,293
2020-07-24,315
2020-07-25,328
2020-07-26,343
2020-07-27,362
2020-07-28,386
2020-07-29,418
2020-07-30,451
2020-07-31,477
2020-08-01,499
2020-08-02,518
2020-08-03,546
2020-08-04,578
2020-08-05,634
2020-08-06,661
2020-08-07,683
2020-08-08,715
2020-08-09,740
2020-08-10,793
2020-08-11,827
2020-08-12,879
2020-08-13,920
2020-08-14,956
2020-08-15,982
2020-08-16,1012
2020-08-17,1032
2020-08-18,1077
2020-08-19,1109
2020-08-20,1148
2020-08-21,1203
2020-08-22,1242
2020-08-23,1258
2020-08-24,1289
2020-08-25,1331
2020-08-26,1356
2020-08-27,1382
2020-08-28,1418
2020-08-29,1458
2020-08-30,1465
2020-08-31,1496
2020-09-01,1535
2020-09-02,1570
2020-09-03,1591
2020-09-04,1626
2020-09-05,1643
2020-09-06,1649
2020-09-07,1673
2020-09-08,1703
2020-09-09,1738
2020-09-10,1769
2020-09-11,1827
2020-09-12,1861
2020-09-13,1866
2020-09-14,1905
2020-09-15,1930
2020-09-16,1962
2020-09-17,1986
2020-09-18,2018
2020-09-19,2038
2020-09-20,2049
2020-09-21,2089
2020-09-22,2136
2020-09-23,2183
2020-09-24,2204
2020-09-25,2230
2020-09-26,2261
2020-09-27,2268
2020-09-28,2301
2020-09-29,2340
2020-09-30,2363
2020-10-01,2392
2020-10-02,2410
2020-10-03,2423
2020-10-04,2432
2020-10-05,2464
2020-10-06,2490
2020-10-07,2512
2020-10-08,2588
2020-10-09,2640
2020-10-10,2671
2020-10-11,2688
2020-10-12,2732
2020-10-13,2775
2020-10-14,2802
2020-10-15,2865
2020-10-16,2900
2020-10-17,2917
2020-10-18,2998
2020-10-19,3049
2020-10-20,3244
2020-10-21,3323
2020-10-22,3359
2020-10-23,3384
2020-10-24,3409
2020-10-25,3486
2020-10-26,3512
2020-10-27,3530
2020-10-28,3581
2020-10-29,3692
2020-10-30,3727
2020-10-31,3745
2020-11-01,3763
2020-11-02,3772
2020-11-03,3793
2020-11-04,3803
2020-11-05,3829
2020-11-06,3863
2020-11-07,3894
2020-11-08,3918
2020-11-09,3960
2020-11-10,3996
2020-11-11,4017
2020-11-12,4038
2020-11-13,4066
2020-11-14,4076
2020-11-15,4083
2020-11-16,4105
2020-11-17,4124
2020-11-18,4141
2020-11-19,4167
2020-11-20,4202
2020-11-21,4223
2020-11-22,4237
2020-11-23,4274
2020-11-24,4297
2020-11-25,4311
2020-11-26,4341
2020-11-27,4363
2020-11-28,4376
2020-11-29,4382
2020-11-30,4415
2020-12-01,4437
2020-12-02,4452
2020-12-03,4465
2020-12-04,4484
2020-12-05,4500
2020-12-06,4507
2020-12-07,4529
2020-12-08,4541
2020-12-09,4576
2020-12-10,4604
2020-12-11,4624
2020-12-12,4638
2020-12-13,4644
2020-12-14,4673
2020-12-15,4683
2020-12-16,4686
2020-12-17,4689
