date,cases
2020-06-18,1
2020-06-26,2
2020-06-28,3
2020-07-08,6
2020-07-11,7
2020-07-13,8
2020-07-16,9
2020-07-21,10
2020-07-23,11
2020-07-26,12
2020-07-30,13
2020-07-31,14
2020-08-03,18
2020-08-08,21
2020-08-11,23
2020-08-13,25
2020-08-14,27
2020-08-15,36
2020-08-16,39
2020-08-18,40
2020-08-20,42
2020-08-21,46
2020-08-23,47
2020-08-24,51
2020-08-29,52
2020-08-31,55
2020-09-02,57
2020-09-03,59
2020-09-04,60
2020-09-05,61
2020-09-06,62
2020-09-07,63
2020-09-08,64
2020-09-10,69
2020-09-11,70
2020-09-12,75
2020-09-13,77
2020-09-14,79
2020-09-15,80
2020-09-16,83
2020-09-18,84
2020-09-21,88
2020-09-26,89
2020-09-27,90
2020-09-28,93
2020-09-30,94
2020-10-02,95
2020-10-03,97
2020-10-05,100
2020-10-06,103
2020-10-07,105
2020-10-08,106
2020-10-09,108
2020-10-10,109
2020-10-11,110
2020-10-13,112
2020-10-14,113
2020-10-15,116
2020-10-16,121
2020-10-17,122
2020-10-18,123
2020-10-19,129
2020-10-20,131
2020-10-22,132
2020-10-23,136
2020-10-24,137
2020-10-27,138
2020-10-29,139
2020-10-30,145
2020-10-31,147
2020-11-01,149
2020-11-02,150
2020-11-04,152
2020-11-05,154
2020-11-07,157
2020-11-08,158
2020-11-09,161
2020-11-13,163
2020-11-14,164
2020-11-15,167
2020-11-16,168
2020-11-17,169
2020-11-18,172
2020-11-19,175
2020-11-20,176
2020-11-21,177
2020-11-22,183
2020-11-23,192
2020-11-24,193
2020-11-25,197
2020-11-27,198
2020-11-28,200
2020-11-30,202
2020-12-01,203
2020-12-02,207
2020-12-03,211
2020-12-07,212
2020-12-08,215
2020-12-10,217
2020-12-11,218
2020-12-13,219
2020-12-14,222
2020-12-15,223
2020-12-17,227
2020-12-18,230
2020-12-21,232
2020-12-22,233
2020-12-23,234
