date,cases
2020-06-10,1
2020-06-27,3
2020-06-28,4
2020-07-06,5
2020-07-08,7
2020-07-10,8
2020-07-15,9
2020-07-20,10
2020-07-22,11
2020-07-23,20
2020-07-30,22
2020-08-01,28
2020-08-02,30
2020-08-03,33
2020-08-04,34
2020-08-05,46
2020-08-06,58
2020-08-11,59
2020-08-12,75
2020-08-15,84
2020-08-18,85
2020-08-20,86
2020-08-21,89
2020-08-23,92
2020-08-25,96
2020-08-27,97
2020-08-29,98
2020-08-31,100
2020-09-01,101
2020-09-04,102
2020-09-09,103
2020-09-10,104
2020-09-20,105
2020-09-22,106
2020-09-27,107
2020-10-03,108
2020-10-10,109
2020-10-18,110
2020-10-19,111
2020-10-26,112
2020-11-12,113
