date,cases
2020-05-15,33
2020-05-19,64
2020-06-05,184
2020-06-07,202
2020-06-15,37
2020-06-19,65
2020-07-22,97
2020-07-27,134
2020-07-28,139
2020-07-29,147
2020-07-31,167
2020-08-01,2
2020-08-02,73
2020-08-03,158
2020-08-04,170
2020-08-05,188
2020-08-06,197
2020-08-08,217
2020-08-09,224
2020-08-10,5
2020-08-11,11
2020-08-12,18
2020-08-14,28
2020-08-15,39
2020-08-16,42
2020-08-17,50
2020-08-18,57
2020-08-19,69
2020-08-20,78
2020-08-21,94
2020-08-22,99
2020-08-24,116
2020-08-25,124
2020-08-26,127
2020-08-27,135
2020-08-28,141
2020-08-29,148
2020-08-30,161
2020-09-01,3
2020-09-03,160
2020-09-04,172
2020-09-05,189
2020-09-07,203
2020-09-08,218
2020-09-09,225
2020-09-10,6
2020-09-11,14
2020-09-12,19
2020-09-13,26
2020-09-14,31
2020-09-15,40
2020-09-16,43
2020-09-17,53
2020-09-21,95
2020-09-22,103
2020-09-23,107
2020-09-24,117
2020-09-26,131
2020-09-27,136
2020-09-28,145
2020-09-29,151
2020-09-30,165
2020-10-02,71
2020-10-03,153
2020-10-04,169
2020-10-05,183
2020-10-06,196
2020-10-07,198
2020-10-08,206
2020-10-09,220
2020-10-11,8
2020-10-12,15
2020-10-13,25
2020-10-14,27
2020-10-15,32
2020-10-17,46
2020-10-19,63
2020-10-20,75
2020-10-21,83
2020-10-22,96
2020-10-23,104
2020-10-25,123
2020-10-28,137
