date,cases
2020-03-15,1
2020-03-16,2
2020-03-19,5
2020-03-20,6
2020-03-21,7
2020-03-22,11
2020-03-24,12
2020-03-25,13
2020-03-26,15
2020-03-27,16
2020-04-01,19
2020-04-04,20
2020-04-11,23
2020-04-12,24
2020-04-14,25
2020-04-15,26
2020-04-16,27
2020-04-18,30
2020-04-19,35
2020-04-20,36
2020-04-22,43
2020-04-23,45
2020-04-24,61
2020-04-25,63
2020-04-26,66
2020-04-27,78
2020-04-28,79
2020-04-29,84
2020-05-01,85
2020-05-02,92
2020-05-03,93
2020-05-04,98
2020-05-05,112
2020-05-06,113
2020-05-07,114
2020-05-08,133
2020-05-13,134
2020-05-14,135
2020-05-15,142
2020-05-18,146
2020-05-19,151
2020-05-20,152
2020-05-22,156
2020-05-26,161
2020-05-28,162
2020-05-30,164
2020-06-01,167
2020-06-02,170
2020-06-03,172
2020-06-04,179
2020-06-05,183
2020-06-06,193
2020-06-07,196
2020-06-08,200
2020-06-09,207
2020-06-10,211
2020-06-11,213
2020-06-13,218
2020-06-15,220
2020-06-16,233
2020-06-17,241
2020-06-18,246
2020-06-19,251
2020-06-20,255
2020-06-21,256
2020-06-22,258
2020-06-23,265
2020-06-24,268
2020-06-25,281
2020-06-26,289
2020-06-27,296
2020-06-28,297
2020-06-29,302
2020-06-30,309
2020-07-01,328
2020-07-02,337
2020-07-03,368
2020-07-04,378
2020-07-05,387
2020-07-06,402
2020-07-07,436
2020-07-08,454
2020-07-09,488
2020-07-10,505
2020-07-11,524
2020-07-12,535
2020-07-13,569
2020-07-14,602
2020-07-15,654
2020-07-16,678
2020-07-17,705
2020-07-18,724
2020-07-19,738
2020-07-20,759
2020-07-21,803
2020-07-22,983
2020-07-23,1033
2020-07-24,1106
2020-07-25,1150
2020-07-26,1217
2020-07-27,1344
2020-07-28,1484
2020-07-29,1555
2020-07-30,1609
2020-07-31,1826
2020-08-01,1885
2020-08-02,1938
2020-08-03,2033
2020-08-04,2189
2020-08-05,2273
2020-08-06,2389
2020-08-07,2451
2020-08-08,2553
2020-08-09,2607
2020-08-10,2700
2020-08-11,2805
2020-08-12,2903
2020-08-13,3113
2020-08-14,3226
2020-08-15,3292
2020-08-16,3483
2020-08-17,3598
2020-08-18,3734
2020-08-19,3889
2020-08-20,4010
2020-08-21,4193
2020-08-22,4308
2020-08-23,4454
2020-08-24,4730
2020-08-25,4907
2020-08-26,5011
2020-08-27,5128
2020-08-28,5249
2020-08-29,5434
2020-08-30,5523
2020-08-31,5665
2020-09-01,5790
2020-09-02,5870
2020-09-03,6104
2020-09-04,6368
2020-09-05,6479
2020-09-06,6595
2020-09-07,6794
2020-09-08,6897
2020-09-09,7034
2020-09-10,7186
2020-09-11,7346
2020-09-12,7464
2020-09-13,7558
2020-09-14,7710
2020-09-15,7851
2020-09-16,7954
2020-09-17,8083
2020-09-18,8229
2020-09-19,8352
2020-09-20,8463
2020-09-21,8609
2020-09-22,8767
2020-09-23,8873
2020-09-24,8923
2020-09-25,9035
2020-09-26,9156
2020-09-27,9238
2020-09-28,9397
2020-09-29,9526
2020-09-30,9685
2020-10-01,9845
2020-10-02,10034
2020-10-03,10190
2020-10-04,10295
2020-10-05,10510
2020-10-06,10694
2020-10-07,10817
2020-10-08,10949
2020-10-09,11114
2020-10-10,11256
2020-10-11,11385
2020-10-12,11538
2020-10-13,11698
2020-10-14,11894
2020-10-15,12176
2020-10-16,12465
2020-10-17,12781
2020-10-18,12964
2020-10-19,13416
2020-10-20,13848
2020-10-21,14162
2020-10-22,14453
2020-10-23,14777
2020-10-24,15160
2020-10-25,15411
2020-10-26,15720
2020-10-27,16020
2020-10-28,16270
2020-10-29,16506
2020-10-30,16791
2020-10-31,17075
2020-11-01,17307
2020-11-02,17507
2020-11-03,17849
2020-11-04,18086
2020-11-05,18261
2020-11-06,18546
2020-11-07,18789
2020-11-08,19045
2020-11-09,19431
2020-11-10,19655
2020-11-11,19752
2020-11-12,20035
2020-11-13,20302
2020-11-14,20529
2020-11-15,20755
2020-11-16,20985
2020-11-17,21207
2020-11-18,21339
2020-11-19,21628
2020-11-20,21900
2020-11-21,21967
2020-11-22,22000
2020-11-23,22088
2020-11-24,22180
2020-11-25,22288
2020-11-26,22375
2020-11-27,22459
2020-11-28,22515
2020-11-29,22548
2020-11-30,22581
2020-12-01,22595
2020-12-02,22636
2020-12-03,22697
2020-12-04,22698
